Assets, Q3 2066, Q2 2067, Q3 2067, Q4 2067, Q2 2068, Q3 2068, Q2 2069, Q4 2069, Q1 2070, Q3 2070, Q4 2070, Q3 2071, Q4 2071, Q2 2072, Q4 2072, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q4 2074, Q1 2075, Q2 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Liabilities,"15,584,617","17,747,836","17,459,569","17,623,916","18,823,237","20,178,314","33,271,954","35,153,273","40,065,622","43,293,677","58,951,807","65,450,039","68,805,589","74,437,291",,"100,605,553","101,609,015","101,609,015","125,558,244","122,873,003","129,449,635",,,"98,602,692","968,625,769","4,324,608,990","2,724,512,127","5,079,992,751","2,127,434,705","2,540,501,212","2,090,724,406","1,753,676,945","6,125,606,144","3,989,300,212","2,099,370,752","2,235,968,734","1,572,431,782","1,738,948,520","447,680,205"
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,"708,037,381","2,750,949,772","1,024,871,293","11,821,411,944","11,999,511,768",,"1,964,578,745","2,555,644,868","94,280,340","587,094,103",,"5,686,392,457",,,"2,280,933,225","4,546,933,713","20,663,071"
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,"5,338,720,008","197,151,621","171,208,237","3,876,078,557","1,793,530,657","107,561,160","364,379,857","4,335,618,244","9,940,024,836","9,554,637,155","5,008,203,449","4,613,464,306","7,423,283,452","3,886,509,230","4,331,347,965","11,593,214,757","12,242,338,413"
Borrowing,"784,600","393,330","826,393","497,545","15,660","15,660","74,880","94,143","107,043","336,289","167,014","142,511","89,565",,,"2,100,000","78,451","363,765","667,600","200,000","1,829,287",,,"2,079,559,630","4,581,023,015","3,606,571,643","3,573,845,642","3,914,493,367","903,139,365","2,116,340,900","1,959,861,050","2,086,940,861","3,008,867,487","3,055,029,843","2,604,555,138","3,513,138,132","4,478,137,925","4,478,137,925","4,478,137,925"
Current Tax Liabilities,,,,,,,,,,,,,,,,,,,,,"917,003",,,,,,,,,,,,,,,,,,
Provisions,,,,,,,,,,,,,,,,,,,,,"3,879,381","4,286,374",,,,,,,,,,,,,,,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,,,,"436,710",,,,,,,,,,,,,,,,,,
Other liabilities,"347,788","764,143","431,878","631,786","718,556","820,457","1,854,227","1,424,042","2,098,439","1,643,404","2,634,782","2,521,437","3,008,758","3,056,288",,"3,996,755",,"4,289,402","7,446,457","4,689,379,","5,831,149","4,286,374",,"98,602,692","968,625,769","4,324,608,990","2,724,512,127","5,079,992,751","2,127,434,705","2,540,501,212","2,090,724,406","1,753,676,945","6,125,606,144","3,989,300,212","2,099,370,752","2,235,968,734","1,572,431,782","1,738,948,520","447,680,205"
Equity,,21.85%,15.63%,12.22%,12.93%,10.36%,9.08%,16.60%,16.50%,22.07%,13.79%,13.56%,14.54%,16.23%,,18.88%,19.03%,16.88%,11.86%,15.18%,,",",,",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",","
Share premium,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reserves,,,,,"165,067","212,979","654,193","647,359","930,536","982,736","1,938,936","1,898,970","2,169,513","1,477,909",,,"2,483,389,","4,099,839","2,811,625","3,861,198,","4,637,000","5,783,504",,,,,,,,,,,,,,,,,
Total equity attributable to equity holders,,,,,,,,,,,,,,,,,,,,,,,"15,548,972,492",,,,,,,,,,,,,,,,
Non-controlling interest,,,,,,,,,,,"41,467","44,817","45,722",,,"8,224","56,731","84,978","92,934","56731,","107,164",,,,,,,,,,,,,,,,,,
Total liabilities and equity,,,,,,,,,,,,,,,,,,,,,,,"147,236,169,330",,,,,,,,,,,,,,,,
