Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Cash and cash equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,632,387","8,717,877","17,407,621","13,507,220","11,970,738","12,394,104","9,606,653","9,658,516","15,664,573","13,019,151","12,700,816","22,531,703","16,838,043","15,973,285","12,041,179","13,081,236","18,496,565",,,,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,729,264","10,834,567","9,539,851","10,417,633","11,043,788","15,250,202","13,441,282","12,592,119","12,060,223","19,248,519","11,463,187","9,601,506","11,129,147","13,774,314","14,992,691","13,601,452","13,345,200",,,,
Placement with Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,015,833","2,177,098","135,091","3,388,498","3,651,297","3,304,242","2,337,203","3,292,889","3,267,284","2,717,149","635,816","595,147","1,391,843","3,782,289","158,966","647,528",,,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,481,426","8,458,374","11,625,006","11,600,548","11,867,843","10,008,213","11,038,145","14,254,274","18,769,489","17,127,036","13,963,107","9,234,775","2,897,145","5,351,098","10,842,142","14,196,991","9,819,729",,,,
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"332,690","340,390","357,600","364,550","364,550","266,890","261,840","261,850","11,670","2,670","8,260","140,760","238,820",,"4,800","16,100","67,650",,,,
Loan and advances to B/FIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,771,826","2,717,962","3,570,756","4,208,975","4,090,542","3,641,005","4,025,198","4,239,519","4,306,161","4,210,215","4,885,757","4,753,390","4,626,084","4,663,877","5,698,168","5,395,356","5,391,993",,,,
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89,835,267","91,578,934","113,542,700","117,161,491","119,203,692","119,409,636","132,132,483","142,348,344","153,523,439","156,094,677","171,042,355","177,904,507","183,909,399","181,634,954","184,473,667","188,971,356","191,064,475",,,,
Investment securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,602,669","10,506,936","12,248,193","12,910,979","14,151,005","15,123,901","14,973,852","14,965,806","15,824,192","19,112,406","20,790,529","19,418,402","25,751,800","29,322,398","29,313,812","31,362,533","33,566,297",,,,
Current tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"778,368","1,002,544",,"135,720","29,940","56,070",,"5,819","14,603","105,757",,"1,695","57,966",,,,"114,563",,,,
Investment in subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment in associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111,420","102,916","101,188","101,188","79,648","79,648","94,563","101,447","97,942","97,942","164,536","192,905","255,085","295,162","295,090","311,747","504,249",,,,
