Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Investment in associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,903,192","23,903,192","29,728,445","23,903,192","29,728,445                           29,728,445                   17,951,500                          17,951,500","34,675,638                            29,728,445                              18,951,500","34,693,285","34,693,285","34,899,585","20,865,381","20,865,381","20,865,381","20,865,381","20,865,381","165,434,787","165,434,787","165,434,787",,,,
Investment property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"283,271,106","222,547,153","222,486,988","216,421,596","195,532,789                         222,547,153                 195,532,789                        222,547,153","195,532,789                          222,547,153                            195,532,789","177,374,958","278,311,235","145,582,001","141,146,454","131,039,558","131,039,558","152,278,660","209,361,154","221,972,646","221,972,646","237,069,461",,,,
Property and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,238,131,102","2,307,988,211","2,337,514,233","2,348,424,290","2,384,728,127                      2,308,095,479              2,380,196,703                     2,302,848,710","2,497,011,330                       2,308,095,479                         2,491,635,388","2,545,458,664","2,477,873,359","2,813,704,397","2,884,386,021","2,834,114,342","2,873,087,005","2,888,791,695","3,690,661,775","3,646,884,128","3,610,855,466","3,653,294,544",,,,
Goodwill and Intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,604,702","93,707,626","88,252,424","84,914,695","80,160,666                           93,699,311                   79,151,536                          93,353,427","78,957,385                            93,699,311                              77,833,303","75,056,245","67,402,885","78,014,658","84,643,386","77,421,900","70,637,292","65,799,641","211,495,270","169,298,170","169,079,554","174,065,811",,,,
Deferred tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59,302,715","50,606,230","28,865,590","27,677,624","56,807,892                           23,971,072                   56,041,161                          20,235,997","-                              23,971,072                                              -                             20,235,997",-,-,-,-,-,-,-,-,"45,415,038","23,733,727","33,367,537",,,,
Other assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,905,815,392","2,122,915,590","1,732,474,265","1,596,402,301","1,428,530,181                      1,608,239,372              1,412,616,959                     1,622,327,762","1,193,052,949                       1,608,239,372                         1,169,872,713","1,622,849,385","2,033,668,122","1,712,082,680","1,559,055,922","2,045,109,271","2,158,600,441","2,111,124,244","2,794,726,149","2,953,372,414","2,798,293,598","3,496,292,926",,,,
Total Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86,941,110,968","90,031,604,935","94,926,325,350","97,540,314,597","104,194,623,713                    90,078,592,886          104,314,406,396                   90,121,363,553","110,438,338,023                     90,078,592,886                     110,464,482,908                    90,121,363,553","118,851,351,214","128,165,426,486","154,498,475,904","167,991,453,329","174,757,848,672","176,064,599,380","184,034,069,901","194,496,996,462","192,175,143,262","192,844,814,071","190,446,577,269",,,,
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,711,976,002","3,926,662,470","6,097,289,793","7,728,510,422","8,607,956,363                      3,926,662,470              8,607,956,363                     3,926,662,470","3,688,903,954                       3,926,662,470                         3,688,903,954","2,342,909,307","3,830,427,977","4,509,576,906","2,765,001,954","1,796,880,588","2,883,526,588","2,416,401,714","4,066,447,767","3,148,651,605","3,366,532,615","3,484,879,528",,,,
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,229,936,531","1,212,586,471","2,534,762,103","425,691,346","598,057,171                      1,212,586,471                 598,057,171                     1,212,586,471","567,577,082                       1,212,586,471                            567,577,082","30,940,454","133,850,000","1,205,558,824","1,205,558,824","3,908,678,824","7,710,926,692","12,000,105,868","11,070,250,868","8,912,550,868","5,170,145,000","1,170,145,000",,,,
Deposits from customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.20,"70,355,483,176",4.20,"75,165,777,080","77,438,853,151                    70,355,477,776            77,836,512,947                   70,509,084,649","88,193,854,886                     70,355,477,776                       88,516,228,464                    70,509,084,649",4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,,,,
