Assets, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q2 2073.PDF
Current Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106,730,804",,,,,"4,526,023",,,,,,,,,,
Provisions,,,,,,,,,,,,,,,,",*",",*",",*",",*",",*",,,,,,,"1,207,077",,,,,,,,,,,,,,,,,,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,959,302","128,691,493","160,827,952","154,562,706","199,289,808","167,893,970","170,071,350","29,977,990","8,816,279","18,055,458","9,292,031",
Other liabilities,"377,175","367,443",3*,"270,675",5*,"408,665","339,496","395,924","601,467","576,807","574,539","352,906",5*,"386,181",1*,"534,356","554,172","821,902",,"764,972",,"1,628,877","2,353,982","5,974,289","5,974,289","2,189,759","2,346,040","3,507,161","7,111,803","1,376,004,507","1,441,094,879","1,587,583,322","1,721,479,250","1,666,641,545","2,274,104,336","1,987,093,901","1,979,309,409","2,312,431,024","2,863,977,651",2*,2*,2*,3*,3*,3*,3*,"1,748,586"
Debt securities issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"996,352,782","996,262,240","3,986,170,283","3,986,591,570","3,986,596,012","3,986,952,851","3,987,404,525","3,987,856,199","3,988,366,688",3*,3*,3*,3*,3*,3*,3*,
Total liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79,810,512,599","82,298,975,669","85,670,685,582",9*,9*,"103,236,157,101",1*,1*,1*,1*,1*,1*,1*,1*,1*,1*,1*,
Equity,6.44%,3.53%,4.76%,6.40%,8.26%,11.22%,12.42%,12.96%,14.59%,15.41%,13.34%,11.18%,12.82%,16.78%,14.10%,14.04%,13.32%,18.13%,18.01%,15.49%,,15.44%,12.71%,8.44%,11.58%,11.99%,,,,,,,,,,,,,,,,,,,,,15.83%
Share capital,,,,,,,,,,,,,,,,,21.50%,,,,,,,,,,,,,"8,152,555,851","8,152,555,851","8,152,555,851","8,967,811,436","8,967,811,436","8,967,811,436","8,967,811,436","9,487,944,499","9,487,944,499","9,487,944,499",9*,"10,118,892,809","10,118,892,809","10,118,892,809","10,118,892,809","10,118,892,809","10,118,892,809",
Share premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127,161,065","127,161,065","127,161,065","127,161,065","127,161,065","127,161,065",,,,,,,,,,,,
Retained earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,105,955,862","1,530,642,106","1,527,810,646","882,291,452","256,438,305","1,123,705,794","812,849,997","870,670,136","1,197,659,275","1,753,521,502","971,106,603","675,872,309",1*,1*,"83,213,262","17,778,732","7,148,089",
Reserves,"145,690","169,610",2*,"277,678",1*,"262,497","354,635","455,391","548,626","661,221","716,457","522,510",6*,"721,719","798,507","935,658","548,728","794,880","1,019,097","1,019,097","1,096,387","2,035,151","2,337,663","1,755,301","1,755,301","2,489,443",1.420.192,,,,,,,,,,,,,,,,,,,,"1,096,387"
Total equity attributable to equity holders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,819,306,717","12,407,085,549","12,756,865,583",1*,1*,1*,"13,853,189,465","14,219,160,134","14,471,802,609","14,869,944,892","15,130,291,246","15,348,063,436","15,895,926,146","16,739,418,870","16,682,286,903","17,214,842,555","17,732,976,822",
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,846","1,531","5,771","52,369,165","58,833,722","58,333,763","51,349,109","53,237,179","53,784,334","56,566,717","54,846,572","54,846,572","54,846,572",,,,,,,,
Total equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,819,306,717","12,407,085,549","12,756,865,583",1*,1*,1*,"13,853,189,465","14,219,160,134","14,471,802,609","14,869,944,892","15,130,291,246","15,348,063,436","15,895,926,146","16,739,418,870","16,682,286,903","17,214,842,555","17,732,976,822",
Total liabilities and equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91,682,188,481","94,764,894,941","98,485,884,928","103,559,254,892","110,316,575,438","116,858,904,234",1*,1*,1*,1*,1*,1*,1*,1*,1*,1*,1*,
