Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080, Q1 2074.PDF
Interest income,,,,,,,,,,,,,,,,,,,,,,,,,"4,205,190",9,2,2.0,3,9,"1,938,501","2,901,573","3,917,792",1,"2,073,755",3.0,,"1,266,366","2,695,903","4,665,982",,"2,508,854",,,977,,,,,,,"5,357,679,873","5,646,942,771","5,376,821,894","5,683,925,493","7,051,638,561","3,050,340,451",,,"9,269,599,475",,,,,,,,,"6,905,855"
Interest expense,,,,,,,,,,,,,,,,,,,,,,,,,"2,435,916",5,1,1.0,2,5,"1,123,473","1,679,044","2,340,288",6,"1,232,626",1.0,,"706,292","1,542,056","2,818,096",,"1,909,469",,,,,,,,,,"3,450,657,916","3,312,680,141","3,214,196,994","3,490,945,418","3,866,560,788","4,349,689,490",,,"5,909,253,309",,,,,,,,,"4,357,559"
Net interest income,,,,,,,,,,,,,,,,,,,,,,,,,"1,769,274","400,862",8,1.0,"1,798,223","407,788","815,028","1,222,529","1,577,504","373,152","841,129",1.0,,"560,074","1,153,847","1,847,886",,"599,385",,,977,,"326,853",,,,,"1,907,021,957","2,334,262,630","2,162,624,900","2,192,980,075","3,185,077,772","3,050,340,451",,,"3,360,346,166",,,,,,,,,"2,548,296"
Fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"649,600",,,,,,,"596,913,158","633,468,783","447,558,575","550,645,998","625,841,631","565,498,993",,,"528,898,050",,,,,,,,,
Fee and commission expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"124,087,936",,,,,,,,,,,,
Net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"649,600",,,,,,,"596,913,158","633,468,783","447,558,575","550,645,998","625,841,631","441,411,057",,,"528,898,050",,,,,,,,,
"Net interest, fee and commission income",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,503,935,114","2,967,731,414","2,610,183,474","2,743,626,073","3,810,919,403","3,491,751,508",,,"3,889,244,216",,,,,,,,,
Net trading income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",","110,021,759","54,321,761","67,961,579","78,137,775","80,160,291","100,657,488",",",",","14,622,873",",",,,,,,,,
Other operating income,,,,,,,,,,,,,,,,,,,,,,,,,"119,735",1,"32,613",1.0,"195,445",6,"131,543","202,178","266,713",6,"129,433",2.0,,"105,436","243,833","400,183",,"179,020",,,,,"204,364",,,,,"327,526,927","41,708,655","74,355,772","63,734,304","21,951,405","66,816,191",,,"86,612,580",,,,,,,,,"574,201"
Total operating income,,,,,,,,,,,,,,,,,,,,,,,,,"2,187,747",4,1,1.0,2,5,"1,063,639","1,612,274","2,102,243",5,"1,120,238",1.0,,"745,281","1,562,342","2,489,894",,"901,844",,,"5,118,636",,"4,611,139",,,,,"2,941,483,801","2,980,344,519","2,752,500,825","2,885,498,152","3,913,031,099","3,659,225,187",,,"3,990,479,669",,,,,,,,,"3,455,133"
Impairment charge/(reversal) for loans and other losses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
