Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Profit before income tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"476,318,474","490,140,389","586,764,309","583,979,573","358,980,597","283,624,383","873,657,247","923,706,257","915,881,965","330,659,333","808,137,492","642,198,301","1,244,346,323","1,458,687,910","1,557,096,441","165,957,631","311,383,404",,,,
Income tax expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"173,332,753","172,965,086","153,974,674","53,590,996","259,281,715","285,560,898",,,,"192,951,070","365,760,233","387,483,809",,"136,124,691","93,415,021",,,,
Current Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146,435,854","229,487,344","173,332,753","172,965,086","153,974,674","81,226,059","259,281,715","285,560,898","274,069,756","68,398,947","234,577,106","192,951,070","365,760,233","361,798,926","433,790,879","136,124,691","93,415,021",,,,
Deferred Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,"65,473,107",-,-,-,"27,635,063",-,-,-,"8,475",-,-,-,"25,684,883",-,-,-,,,,
Condensed Statement of Comprehensive Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Comprehensive Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"329,157","14,506,516","18,074,000","17,377,152","2,900,353","74,627,099",,,"202,666,221","21,252,003","149,441,816","96,245,691","30,271,197","96,854,178","104,336,136",,,,
Total Comprehensive Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic earnings per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.86%,15.42,17.31,17.26,14.37,13.12,19.63,18.05,18.20,15.54,16.53,13.91,17.23,20.21,30.54,12.74,10.05,,,,
Diluted earnings per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.86%,15.42,17.31,17.26,14.37,13.12,19.63,18.05,18.20,15.54,16.53,13.91,17.23,20.21,30.54,12.74,10.05,,,,
Profit attributable to:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity holders of the Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"329,485,802","327,971,356","413,102,400","425,521,002","186,931,923","247,410,539","617,275,884","712,772,459","698,182,869","264,351,708","370,894,165","427,995,228","1,028,027,907","974,958,410","1,093,034,365","126,687,118","113,632,246",,,,
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
