Particulars, Q2 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q2 2074, Q3 2074, Q4 2074, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q2 2075.PDF
Current Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"173,332,753","172,965,086","153,974,674","81,226,059","259,281,715",,"68,398,947","234,577,106",,,,"433,790,879","136,124,691","93,415,021",
Deferred Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,635,063",,,"8,475",,,,,,,,
Profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2076,2076,2076,2077,2077,,2078,2078,2078,2078,2079,2079,"29,832,940","217,968,383",
Profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2076,2076,2076,2077,2077,,2078,2078,2078,2078,2079,2079,"29,832,940","217,968,383",
Other Comprehensive Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,443",,,"329,157","14,506,516","18,074,000","17,377,152","2,900,353",,,,"21,252,003","149,441,816","96,245,691",,,,"1,155"
Total Comprehensive Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"673,880",,,"413,102,400","425,521,002","186,931,923","247,410,539","617,275,884",,,,"427,995,228","1,028,027,907","974,958,410",,,,"352,958"
Earnings per share,,,18.64,11.19,3.14,9.71,17.19,15.79,21.27,,,,,,,,,,,,,,,,,,,,,,,17.31,17.26,14.37,13.12,19.63,,15.54,16.53,,,,30.54,12.74,10.05,
Basic earnings per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.31,17.26,14.37,13.12,19.63,,15.54,16.53,,,,30.54,12.74,10.05,
Diluted earnings per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.31,17.26,14.37,13.12,19.63,,15.54,16.53,,,,30.54,12.74,10.05,
Equity holders of the Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"413,102,400","425,521,002","186,931,923","247,410,539","617,275,884",,"264,351,708","370,894,165","427,995,228","1,028,027,907","974,958,410","1,093,034,365","126,687,118","113,632,246",
Profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2076,2076,2076,2077,2077,,2078,2078,2078,2078,2079,2079,"29,832,940","217,968,383",
