Particulars, Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Residential Real Estate Loan,,,,,,,,,,,,,,,"4,140,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Complex and Residential Apartment Construction Loan,,,,,,,,,,,,,,,"285,065","321,957",,"684,558",,,,,,,"862,507","838,013",,,"1,310,131",,"1,149,197","689,245","702,702",3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Generating Commercial Complex Loan,,,,,,,,,,,,,,,"176,315","174,585",,"169,536","219,268","226,410","223,174","211,435","174,175","189,107","183,025","171,985","168,302","164,001","202,873",,"198,479","192,327","186,299",4.,"594,701",,"563,131",,"609,316","893,680","873,332","889,929","1,354,695",,"1,922,368",,,,,,,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase and Plotting),,,,,,,,,,,,,,,"592,521","624,687",,"664,445","640,312",,,,,,"373,455","379,332",,,"13,345",,"38,863","33,504","34,772",.,"34,209",,"147,268",,"276,392","878,571","857,292","900,986","899,850",,,,,,,,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,,,,,,,,,"5,076","20,000","280,758","79,162","77,642",.,"77,698","74,745","35,102","35,129","3,376","3,391","2,950","43,453","82,325","89,066","311,954","510,323",,"510,257","538,232","582,156",.,"494,137","1,038,988","1,091,934","85,000","1,360,426","1,236,404","1,284,344","1,222,730","1,293,621",,"1,107,340",,,,,,,,,,,,,,,,,,,,,,,
Term Loan,,,,,,,,,,,,"5,332,769","5,172,268","596,343","5,124,088","5,035,403",.,"4,841,198","4,883,746","5,023,490","6,062,028","5,027,689","6,619,534","6,870,049","7,307,935","7,350,502","7,994,887","8,548,019","9,123,575",,"10,398,107","10,581,359","11,195,915",.,"11,435,865","597,781","14,300,991","14,921,557","16,995,472","17,458,032","18,399,385","19,432,000","21,074,219",,"25,196,547",,,,,,,,,,,,,,,,,,,,,,,
Overdraft Loan /TR Loan /Working Capital Loan,,,,,,,,,,,,"12,130,392","11,508,255",,"14,268,741","14,185,935",,"15,486,843","18,258,112","17,060,743","17,522,771","19,203,423","21,748,365","20,994,438","22,055,638","22,863,780","24,786,155","25,624,781","21,485,259",,"25,427,785","26,529,583","24,241,120",.,"23,445,233","26,356,567","32,487,623","31,484,573","50,191,670","29,793,137","33,647,188","36,393,726","36,427,056",,,,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,,,"2,680,653","6,451,852","6,169,445",,,.,,"6,973,632",,1,,1,1,,,,1,,,,,,,"1,980,653","8,072,118","8,298,552","8,590,140","9,302,691","9,818,776","9,595,214","9,470,689","9,700,363",,,,,,,,,"386,812",,,,,,,,,,,,,,,,
Fixed Assets,,,,,,,,,,"469,698",,"318,860","405,094","491,290","503,227","519,102",,"503,612","578,965","598,552","547,926","560,873","569,312","694,680","631,183","649,612","658,012","669,982","626,994",,"667,409","690,341","630,397",,"681,626",,"687,948","734,629","756,221","783,774","728,399","754,481","799,618",,"39,449",,,,,,,,,,,,,,,,,,,,,,,
Non Banking Assets ( Net of provision),,,,,,,,,,,,"690,030",,,,,,,,,,,,,,,,,,,,,,,,"690,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
