Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Investment in associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"295,630","311,838","314,441","355,691",,,"379,023","401,379","435,277","502,316","502,316","544,278","621,839","707,316","713,660","713,660","713,660",,,,
Investment property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,203","21,040","21,040","21,040",,,"2,203","2,203","2,203","2,203","2,203","2,203","2,203","2,203","2,203","2,203","2,203",,,,
Property and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,869,815","2,088,848","2,096,595","2,093,488",,,"2,144,295","2,144,902","2,159,337","2,737,913","2,711,135","2,717,904","2,713,130","2,756,670","2,736,418","3,548,543","3,533,160",,,,
Goodwill and Intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,926","38,323","40,960","43,226",,,"46,136","40,668","39,162","32,837","30,232","28,883","27,497","23,076","26,446","36,434","37,382",,,,
Deferred tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111,957","111,957",,,,
Other assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"654,106","973,417","1,486,409","1,703,676",,,"2,493,993","1,305,817","1,519,254","1,153,958","1,739,645","1,672,883","1,593,989","1,549,548","2,221,380","1,630,887","2,045,347",,,,
Total Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"159,315,637","168,684,737","161,226,497","187,955,267",,,"184,518,133","197,170,267","199,138,135","211,646,308","200,263,828","209,484,555","208,944,095","224,300,219","215,486,119","248,350,770","237,897,198",,,,
Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"527,164","601,403","919,550","763,400",,,"1,110,738","1,147,630","692,273","678,975","539,126","700,345","1,207,247","733,073","1,475,642","786,846","1,969,697",,,,
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,261,400","1,206,069","40,230","610,245",,,"23,926","1,352,491","2,003,159","2,112,185","2,225,685","3,586,003","3,023,678","2,919,259","2,689,977","1,133,500","23,500",,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deposits from customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"124,542,022","129,550,539","134,744,985","141,195,515",,,"156,549,579","150,182,622","155,655,693","160,220,257","163,941,720","165,217,641","161,796,435","172,739,185","173,844,552","180,792,914","186,158,814",,,,
Borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,556,000","2,637,000","2,602,000","2,622,000",,,,
Current Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"220,715","71,491",,,,,,,,,,,,,,,,,
Provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,264","77,264","92,881","92,881",,,"127,370","127,370","127,370","423,325","410,464","410,464","410,464","91,825","122,131",,,,,,
Other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,290,643","18,546,681","5,773,610","26,576,584",,,"6,682,031","23,780,477","18,468,076","27,029,490","11,693,050","18,256,507","19,849,108","21,241,050","7,976,540","35,988,108","18,852,685",,,,
Debt securities issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,068,845","1,068,845","1,068,845","1,068,845",,,"1,068,845","1,068,845","1,068,845","468,845","468,845","468,845","1,325,628","1,325,628","3,325,628","3,325,628","4,072,458",,,,
Subordinated Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"142,767,339","151,050,801","142,899,013","170,378,961",,,"165,562,489","177,659,434","178,133,670","190,961,003","179,347,775","188,639,805","187,612,559","201,606,020","192,071,470","224,666,253","213,734,447",,,,
Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,106,863","8,106,863","8,106,863","8,510,207",,,"8,510,207","8,933,717","8,933,717","8,933,717","8,933,717","9,467,340","9,467,340","9,467,340","9,467,340","10,698,094","10,698,094",,,,
Share premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"238,470","238,470","238,470","238,470",,,"238,470","238,470","238,470","238,470","238,470","238,470","238,470","238,470","238,470","238,470","238,470",,,,
Retained earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,080,709","2,188,038","3,015,019","1,560,134",,,"2,127,830","1,863,369","2,408,912","2,364,965","3,114,408","2,834,009","3,511,413","3,895,454","4,716,857","2,846,968","3,363,358",,,,
Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,122,256","7,100,565","6,967,132","7,267,496",,,"8,079,137","8,475,277","9,423,366","9,148,153","8,629,458","8,304,931","8,114,313","9,092,936","8,991,982","9,900,985","9,862,829",,,,
Total equity attributable to equity holders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,548,298","17,633,936","18,327,484","17,576,306",,,"18,955,644","19,510,833","21,004,464","20,685,305","20,916,053","20,844,750","21,331,536","22,694,200","23,414,649","23,684,517","24,162,751",,,,
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,548,298","17,633,936","18,327,484","17,576,306",,,"18,955,644","19,510,833","21,004,464","20,685,305","20,916,053","20,844,750","21,331,536","22,694,200","23,414,649","23,684,517","24,162,751",,,,
Total liabilities and equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"159,315,637","168,684,737","161,226,497","187,955,267",,,"184,518,133","197,170,267","199,138,135","211,646,308","200,263,828","209,484,555","208,944,095","224,300,219","215,486,119","248,350,770","237,897,198",,,,
