Particulars,Q1 2064,Q2 2064,Q3 2064,Q4 2064,Q1 2065,Q2 2065,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079,Q1 2080,Q2 2080,Q3 2080,Q4 2080
net interest income,,,,,,,,,,,,,,,,,444132,98936,217069,324667,465015,170413,355648,562724,762350,174134,369813,581749,809213,258228,522347,782730,987792,247251,806090,1439189,2106548,633292,1341506,2004744,2788216,"678,036",1501292,2264671,"3,192,940","1,033,951","2,115,532","1,165,700","1,256,596","1,302,059","1,610,847","1,650,385","1,288,244","1,460,176","1,640,816","1,582,717","1,513,836","1,565,827","1,429,937","1,834,840","2,248,581","2,175,892","2,324,680","2,331,769",,,,
net fee and commission income,,,,,,,,,,,,,,,,,30874,9178,15814,40450,45741,13091,23563,37715,52727,18048,33281,55654,83497,30702,58516,85577,112616,42950,93318,149200,263045,61748,199873,309841,474125,"154,795",280128,372368,"495,946","126,615","232,802","222,247","317,946","252,317","315,963","222,647","149,012","381,623","311,605","412,792","197,642","598,694","390,056","472,437","233,452","542,120","389,611","392,592",,,,
total operating income,,,,,,,,,,,,,,,,,"581,669","573,580","280,563",451707,612938,231475,456413,696572,"946,131",240638,518019,"808,437",1108143,"350,695","707,734",1072724,"1,364,242","355,928",1061635,"1,879,766","2,755,686",834376,"1,797,864","2,711,351","3,758,885","997,125","2,120,006","3,212,241","4,470,501","1,424,177","2,915,983","1,554,734","1,696,494","1,733,301","2,087,434","2,052,702","1,594,818","1,979,131","2,129,999","2,136,132","1,986,738","2,496,024","2,053,095","2,413,263","2,539,551","2,894,594","2,841,476","2,822,034",,,,
staff expenses,,,,,,,,,,,,,,,,,"358,896","27,291","49,993",72936,97075,35160,62176,94821,"132,048",43026,84761,125179,154980,"61,388",112246,162887,"208,564","63,020","208,534","306,304","539,459",162533,"323,656","476,303","617,000","227,686","436,558","662,142","933,316","370,210","758,051","368,192","463,993","474,074","518,150","466,674","447,607","556,714","627,300","597,161","549,777","796,653","643,076","699,803","735,521","752,631","762,532","778,457",,,,
operating profit,,,,,,,,,,,,,,,,,322464,52264,66907,85322,75752,119576,236497,354613,490592,122670,256700,409532,582491,200167,409590,611719,769149,188673,499109,923806,1211118,367394,891053,1299507,2168120,"502,223",1209480,1794750,"2,448,769","800,901","1,605,298","846,561","996,822","400,494","1,246,083","411,206","612,583","1,125,490","1,318,567","1,448,895","373,164","1,568,695","1,035,047","1,456,368","1,517,557","1,336,235","1,479,957","1,151,381",,,,
non operating income expense,,,,,,,,,,,,,,,,,"14,473","7,036","7,966",8282,2987,3496,3024,2970,5368,5154,5806,"17,361",529595,"11,837","14,004",15491,"15,470",471,"19,273","31,914","54,556",27717,"93,172","40,015","91,170",839,"104,472","106,872","119,617","3,529","5,469",-13455,7490,586381,-2553,-10655,-4123,-6694,-316,-27632,8417,155,1058,-56,-47972,449,-17745,2228,,,,
profit for the period,,,,,,,,,,,,,,,,,"240,440","43,055",56170,69201,62273,90135,165718,266200,"366,609",93435,203883,"312,468",433717,"146,277","280,909",418062,"532,781","127,343","444,538","810,181","1,212,000",353685,"751,359","1,232,738","1,636,559","472,760","1,055,111","1,477,606","1,910,170","563,997","1,140,500","583,334","705,180","855,028","875,813","280,087","428,399","786,473","929,077","994,120","323,805","1,113,585","733,326","1,010,513","1,099,051","937,322","1,040,709","815,569",,,,
capital fund to rwa,,,,,,,,,,,,,,,,,18.39,16.82,15.38,14.57,14.66,13.31,13.38,12.84,12.68,12.22,11.36,11.06,10.77,10.91,10.91,11.46,11.2,11.09,12.2,11.37,11.08,14.08,13.73,13.57,13.82,13.79%,13.03,12.88,15.78%,15.26,15.32%,15.27%,15.18%,15.66%,15.89%,14.32%,14.62%,14.33%,13.73%,13.36%,15.14%,14.54%,14.15%,14.17%,13.85%,13.71%,12.87%,12.83%,,,,
non performing loan to total loan,,,,,,,,,,,,,,,,,0.27,0.71,2.7,2.77,2.45,2.19,1.82,1.9,1.8,1.83,1.58,1.32,0.55,0.53,0.6,0.47,0.42,0.4,1.65,1.69,1.74,1.83,1.87,1.68,1.64,1.66,1.24,1.15,0.93,0.81,0.82,0.84,0.86,1.97,1.98,2.5,2.67,2.25,2.46,2.02,2.3,1.9,1.57,1.54,1.38,2.02,2.32,3.12,,,,
total loan loss provision to npl,,,,,,,,,,,,,,,,,445.69,178.51,64.29,84.4,130.01,131.44,145.51,129.13,135.6,136.18,145.74,162.32,278.73,170.42,242.61,298.79,316.26,329.04,177.4,153.05,145.49,136.48,127.02,130.61,134.36,129.33,154.32,152.96,177.27,193.26,194.11,182.37%,178.62%,124.53%,129.07%,127.77%,124.90%,143.06%,115.90%,128.67%,130.02%,139.02%,163.47%,157.68%,169.69%,135.77%,122.08%,98.20%,,,,
cost of fund,,,,,,,,,,,,,,,,,9.9,10.79,9.37,9.28,9.02,6.8,6.44,6.95,6.14,6.1,6,5.74,5.52,4.34,4.26,4.32,4.55,4.31,4.31,4.12,4.01,3.81,4.09,4.69,5.17,7.22%,7.14,7.47,7.52%,7.46,7.40%,7.32,7.32,7.19,7.75,7.16,7.05,5.94,5.52,5.38,5.8,5.36,5.82,6.15,5.9,8.07,8.2,8.35,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,9.32,9.32,9.55,9.73,9.11,8.33,8.12,7.78,7.44,7.66,1.07,7.01,7.649,6.47,6.68,6.63,7.54,8.95,10.12,10.21%,10.35,10.92,10.70%,10.68,10.11%,9.95%,9.86%,10.33%,10.12%,9.99%,8.95%,7.85%,7.40%,7.19%,7.33%,7.96%,8.58%,8.96%,9.38,10.15,10.68,10.61,,,,
net interest spread,,,,,,,,,,,,,,,,,2.49,2.37,3.34,3.49,3.56,,4.1,4.49,4.21,4.04,4.46,4.05,9.37,4.65,4.65,3.76,4.19,3.52,4.22,4.38,4.44,3.96,3.73,3.85,3.91,3.28%,3.75,3.42,3.54%,3.78,3.99,4.33,4.26,4.12,5.03,4.88,4.05,4.38,4.02,3.37,3.09,3.02,2.64,3.54,4.05,3.79,4.19,4.19,,,,
market share price,,,,,,,,,,,,,,,,,195,170,157,167,180,175,269,270,252,260,420,397,515,507,507,507,507,507,460,609,810,,510,643,545,,457,445,358,,315,,,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,,,,,,,,,,,,12.97,6.6,4.58,3.86,2.41,15.17,14.42,15.6,15.86,12.55,14.46,15.36,15.87,18.25,18.17,18.42,17.66,15.45,17.72,19.29,17.2,20.08,17.73,18.14,16.59,16.80%,18.61,17.13,16.11%,11.86,12.66%,13.30%,13.96%,15.54%,15.72%,12.46%,11.21%,13.49%,14.51%,15.15%,12.51%,17.50%,14.41%,14.59%,14.86%,13.31%,14.18%,13.17%,,,,
return on total assets,,,,,,,,,,,,,,,,,1.61,1,0.64,0.52,0.32,1.83,1.67,1.73,1.66,1.41,1.55,1.53,1.5,1.81,1.68,1.58,1.34,1.32,1.41,1.79,1.73,1.81,1.84,1.89,1.97,2.05,2.22,2.03,1.78,1.91,1.94,1.76,1.88,1.95,1.97,1.51,1.36,1.6,1.7,1.69,1.38,1.83,1.49,1.53,1.56,1.42,1.47,1.37,,,,
credit to deposit ratio,,,,,,,,,,,,,,,,,77.07,73.35,76.94,74.16,65.76,77.11,77.06,76.71,68.7,75.68,73.64,75.43,75.02,77.74,79.75,78.06,72,72.66,78.95,79.72,78.69,75.45,78.85,70.81,74.9,77.84,76.61,75.33,77.72%,78.31,78.95,77.83,76.88,77.23,77.55,76.16,72.68,79.77,81.97,81.09,77.06,91.27,88.88,87.53,87.75,86.94,87.25,87.08,,,,
