Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Deferred tax liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,-,-,-,-,-,"17,531,253",,"49,368,548",,,,,,,,,,,
Other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,145,237,568",,"1,486,569,699","1,277,058,891","1,688,823,077","1,760,627,693","1,364,080,305","1,620,993,635",,"1,584,870,159",,,,,,,,,,,
Debt securities issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,-,-,-,-,-,-,,"2,440,968,911",,,,,,,,,,,
Subordinated Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,-,-,-,-,-,-,,-,,,,,,,,,,,
Total liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78,647,750,146",,"92,054,303,777","94,310,844,020","129,225,199,961","131,673,730,084","134,111,581,059","139,874,972,650",,"166,626,202,994",,,,,,,,,,,
Share capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,033,298,870",,"9,686,851,689","9,686,851,700","13,985,249,504","13,985,249,504","13,985,249,504","16,083,036,930",,"16,083,036,900",,,,,,,,,,,
Share premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,"644,823","644,823","644,823","644,823","644,823",-,,-,,,,,,,,,,,
Retained earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,363,822,605",,"1,932,517,019","2,461,117,139","788,449,040","1,764,348,421","2,120,777,327","1,378,290,467",,"2,777,225,036",,,,,,,,,,,
Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,333,806,383",,"3,209,062,858","3,196,731,253","5,450,805,019","4,795,693,610","5,466,544,058","4,947,637,361",,"5,064,437,456",,,,,,,,,,,
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,730,927,858",,"14,829,076,389","15,345,344,915","20,225,148,386","20,545,936,358","21,573,215,712","22,408,964,758",,"23,924,699,391",,,,,,,,,,,
Total liabilities and equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91,378,678,004",,"106,883,380,166","109,656,188,935","149,450,348,347","152,219,666,442","155,684,796,771","162,283,937,408",,"190,550,902,385",,,,,,,,,,,
