Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,174","2,207","2,277","2,246","2,246","5,668","2,497","2,246","2,246","2,246","2,246","2,246","2,246","2,246","2,246",,,,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"827,303","852,192","809,344","865,739","886,570","965,958","1,044,056","1,300,863","1,316,158","1,799,337","1,514,089","1,520,073","1,357,808","1,132,627","1,033,933",,,,,,
Other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,178,172","3,815,754","3,818,978","4,396,906","4,057,034","3,708,087","4,257,211","5,258,344","5,571,651","6,542,356","7,707,340","4,693,471","5,186,343","8,816,791","6,087,665",,,,,,
Debt securities issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,250,000","3,250,000","3,250,000","3,250,000","3,250,000","3,250,000","2,750,000","2,750,000","6,750,000","6,750,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000",,,,,,
Subordinated Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
Total liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"154,002,585","160,987,890","161,404,017","162,753,930","169,466,896","176,733,208","196,452,663","183,016,657","187,654,930","198,035,441","202,643,717","200,582,912","205,535,117","213,005,412","218,472,241",,,,,,
Share capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,589,907","12,869,749","12,869,749","14,221,073","14,248,954","14,248,955","14,248,955","14,248,955","16,257,330","16,257,330","16,257,330","18,307,541","18,307,541","18,307,541","18,307,541",,,,,,
Share premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102,246","102,246","105,649","32,599","32,599","32,599","32,599","32,599","4,798","4,798","4,798",-,-,-,-,,,,,,
Retained earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,037,825","2,061,334","2,693,636","2,037,853","1,471,203","1,903,345","2,129,572","3,375,875","1,463,805","2,205,194","2,399,702","667,811","917,430","1,768,170","2,330,394",,,,,,
Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,556,402","10,955,360","10,837,039","10,092,409","11,566,687","11,405,356","12,005,183","12,154,530","12,950,115","14,270,157","14,234,453","14,122,145","14,380,301","14,709,216","15,131,758",,,,,,
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,446",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
Total equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,297,826","25,988,690","26,506,073","26,383,934","27,319,443","27,590,255","28,416,309","29,811,958","30,676,048","32,737,479","32,896,283","33,097,498","33,605,272","34,784,927","35,769,694",,,,,,
Total liabilities and equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"179,300,411","186,976,580","187,910,090","189,137,864","196,786,340","204,323,462","224,868,971","212,828,615","218,330,978","230,772,920","235,540,000","233,680,410","239,140,389","247,790,339","254,241,935",,,,,,
