Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,084,827,190","3,699,494,594","5,029,552,422","4,042,091,281","5,915,118,762","6,595,869,088","8,252,000,215","9,013,444,697","11,456,817,481","8,360,641,959","16,305,467,106","2,895,444,475","2,851,902,893","3,067,875,752","4,075,840,803",4.17,"15,067,348,084",,,,
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"560,812,042",,,,"155,736,786","149,320,714","2,027,164,000","3,025,596,158","3,025,596,158","3,928,388,463","11,799,234,756","22,133,022,891","14,807,896,891","3,927,896,891",4.18,"4,876,996,595",,,,
Deposits from customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"108,582,107,094","109,390,482,184","115,354,807,536","112,679,084,979","116,274,482,554","125,096,979,262","128,720,746,522","129,717,593,531","132,208,163,936","140,848,614,773","142,122,886,106","165,391,999,020","165,122,544,756","168,177,158,508","170,398,206,912",4.20,"264,080,419,473",,,,
Borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21,,,,,
Current Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,937,179",,"181,605,720",,,,,,,,,,,4.9,,,,,
Provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,678,213","114,584,058",,,,,,,,,,,,,,4.22,,,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"126,353,020","119,344,357","96,170,155","94,312,580","88,758,845","96,016,544","100,478,165","95,362,284","109,459,221","101,754,246","104,991,988","109,229,927","104,467,905","88,759,997","41,156,753",4.15,"28,093,736",,,,
Other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,785,105,278","2,698,182,324","2,909,460,164","3,726,389,021","3,357,343,036","3,644,360,056","3,442,622,983","3,484,216,313","3,707,990,235","3,278,372,724","3,900,373,787","4,578,958,325","4,466,150,377","5,192,330,623","5,632,895,309",4.23,"8,860,198,251",,,,
Debt securities issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"613,808,132","623,148,518","3,224,682,794","3,287,313,060","3,255,252,570","2,563,661,608","2,628,056,942","2,692,452,276","2,628,402,687","2,692,806,448","2,628,763,858","2,693,176,468","2,629,133,878","2,693,565,077","5,142,538,088",4.24,"8,254,868,359",,,,
Subordinated Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,,,,,
Total liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"117,193,878,927","117,212,588,677","126,719,106,286","123,843,079,721","129,546,890,850","138,228,166,476","143,325,100,019","147,051,377,101","153,305,365,574","158,360,721,661","169,049,058,327","187,468,578,144","197,307,542,915","194,053,321,738","189,230,193,713","192,912,948,501","301,225,288,756",,,,
Share capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,520,255,844","8,520,255,844","8,520,255,844","8,520,255,844","9,372,281,428","9,372,281,428","9,372,281,428","10,684,400,828","10,684,400,828","10,684,400,828","10,684,400,828","12,968,725,725","12,968,725,725","12,968,725,725","12,968,725,725",4.26,"21,656,615,632",,,,
Share premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retained earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,554,780,647","2,236,962,434","3,282,635,395","4,015,608,615","2,042,998,005","3,415,744,327","3,588,994,762","2,107,607,026","2,565,941,174","4,011,451,132","4,141,771,313","1,458,654,737","1,704,839,533","3,886,229,703","3,856,121,297","1,542,489,931","301,041,622",,,,
Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,190,960,075","5,325,987,259","5,796,006,031","6,116,985,950","6,790,001,798","5,670,966,635","6,080,706,759","5,986,630,811","6,198,834,933","6,588,789,341","6,952,623,632","7,154,346,379","7,544,894,397","6,472,136,450","7,353,753,114",4.27,"13,457,609,698",,,,
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,265,996,566","16,083,205,537","17,598,897,270","18,652,850,409","18,205,281,231","18,458,992,390","19,041,982,949","18,778,638,665","19,449,176,935","21,284,641,301","21,778,795,773","21,581,726,841","22,218,459,655","23,327,091,878","24,178,600,136","22,975,139,519","35,700,759,150",,,,
Total liabilities and equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"132,459,875,493","133,295,794,214","144,318,003,556","142,495,930,130","147,752,172,081","156,687,158,866","162,367,082,968","165,830,015,766","172,754,542,509","179,645,362,962","190,827,854,100","209,050,304,985","219,526,002,570","217,380,413,616","213,408,793,849","215,888,088,020","336,926,047,906",,,,
