Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,,,,,,,,,,,,"54,955,592","56,515,445","58,051,122","58,369,726","58,971,475","59,604,517","64,793,964","62,627,815","62,482,222","58,460,976","61,082,973","62,811,705","64,513,255",,"59,277,291","62,664,052","69,977,989","75,062,180","78,435,387","84,294,612","96,878,227","100,881,557","99,752,371",,,,"102,323,788",,,,,,,,,,,,,,,,,,,,,,,
Paid Up Capital,,,,,,,,,,"874,528","874,528","1,653,624","1,653,624","1,653,624","1,861,324                  1,653,624                            874,528","1,869,303","1,869,303","1,869,303","2,102,966","2,093,990","2,093,990","2,093,990","2,355,739","2,355,739","2,355,739","2,650,206","2,650,206","2,650,206","2,650,206","2,650,206","3,058,059",,"3,058,060","3,058,059","3,058,059","3,883,736","3,883,736","3,883,736","3,883,736","4,979,856","6,924,893",,,,"8,046,905",,,,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,,,"924,913","1,040,176","793,653","888,421","891,429",,"955,844","1,103,455","1,199,440","981,028","1,047,069","1,203,692","1,370,300","1,223,576","1,391,129","1,617,711","1,371,549","1,607,795","1,823,465","2,071,736","2,327,943","2,284,798",,"2,631,312","2,933,382","3,255,238","2,712,480","3,094,174","3,448,585","3,852,966","3,114,233","3,525,065",,,,"4,744,607",,,,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,"200,000",,"200,000","200,000","200,000",,"200,000","200,000","200,000","200,000","600,000","600,000","600,000","600,000","1,000,000","800,000","800,000","800,000","800,000","1,000,000","1,000,000","1,000,000",,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000",,,,"1,000,000",,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,"1,421,099","2,668,659","1,518,054","108,174",-,"130,426                               -","370,965",-,-,-,-,-,"1,750,027",-,"4,375",-,-,"28,313","7,552",-,"702,778",-,"30,017",-,"403,038","3,168,855","2,500,400","4,184,700","5,807,200","8,584,160","4,843,350","5,309,655",,,,"2,709,590",,,,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,,,"29,442,188","28,882,481","31,355,709","34,896,424","38,744,164","39,801,807                38,744,164                       28,882,481","40,492,187","42,415,443","46,117,245",65.47%,68.72%,73.09%,80.05%,76.57%,79.89%,75.18%,74.67%,76.64%,76.40%,75.23%,78.17%,79.84%,77.97%,"51,628,222",74.82%,"58,359,796","63,416,783",76.57%,79.51%,79.32%,"85,372,230",75.00%,,,,"84,025,321",,,,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,,,"19,036,496","22,689,958","26,156,571",,"27,528,941","28,904,197","29,650,768","32,400,929","33,838,259","32,916,339","31,963,065","33,617,145","32,503,954","34,804,152","36,786,708","37,729,882","39,590,688","42,027,199","41,997,472","42,992,850",,"44,932,960","47,519,169","48,475,291","55,456,104","54,831,458","58,713,994","67,516,624","76,439,512","72,102,182",,,,"81,635,392",,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,"9,987,441","9,845,986","9,824,398","12,206,466","12,587,593",,"12,963,246","13,511,246","16,466,476","18,352,636","18,396,599","20,420,926","19,734,887","20,482,565","21,163,071","24,116,304","19,586,360","18,715,989","11,846,183","12,465,795","13,069,169","14,265,481",,"6,695,262","6,434,406","9,884,505","7,960,679","10,281,859","10,083,459","9,987,508","8,932,718","9,463,911",,,,"2,389,929",,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,-,,-,- -,- -,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,,,,,,,,,"622,951","918,032",,,,,,,,,,,,,,,,"1,136,041",,,,,"1,571,888",,,,,"1,797,033",,,,,,,,,,,,,,,,,,,,,,,
