Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Deferred tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-                                           -,-,-,-,-,-,-                                                             -,-,-,-                                                             -,-,-,,,,
Other assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,631,533,335","14,670,455,415.09","8,680,979,007.93","9,905,000,571","13,930,834,716","16,776,710,136                    14,786,384,911","11,647,287,296","6,129,650,627","11,346,779,080","11,232,601,423","6,925,387,070","4,596,835,058                                     10,368,431,136","9,997,427,819","9,970,294,759","9,739,381,496                                       9,970,294,759","11,390,126,688","9,308,797,099",,,,
Total Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"147,263,447,917","165,911,379,179","156,211,362,678","163,820,359,837","169,339,976,791","190,426,555,654","195,037,783,579","207,307,933,437","211,410,851,040","222,617,304,101","232,529,441,039","241,174,513,481","245,267,401,686","259,502,396,331","252,456,185,921","262,762,914,518","278,768,136,175",,,,
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"306,746,851","1,074,497,374","2,007,154,966","972,726,182","874,961,738","874,961,738                      1,074,497,374","1,018,891,723","2,260,353,820","1,889,437,719","809,125,108","511,109,777","543,737,147                                          809,125,108","597,134,500","1,090,678,643","582,105,350                                       1,090,678,643","879,055,432","722,340,044",,,,
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,177,307","41,843,286","26,924,286","26,924,286","29,957,969","23,920,613                           41,843,286","23,920,613","5,674,803,679","6,901,856,995","6,062,640,951","5,630,200,156","6,098,224,093                                       6,062,640,951","5,946,991,046","5,888,868,046","5,834,885,046                                       5,888,868,046","70,000,000","70,000,000",,,,
Deposits from customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"105,632,627,079","117,200,788,938","114,798,221,298","117,122,878,927","122,700,366,557","142,114,284,983                  117,200,788,938","145,469,372,750","148,994,868,819","151,600,836,805","162,743,229,012","173,098,590,239","182,840,958,513                                   162,813,383,867","187,373,810,612","196,063,952,128  162,813,383,867","196,581,958,969                                   196,063,952,128","212,837,603,439","229,334,965,905",,,,
Borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,"950,000,000","398,650,000","734,500,000",-,"1,000,000,000                         950,000,000","93,720,000",-,"263,560,000",-,-,-                                                             -,"2,215,500,000","7,304,175,000","657,750,000                                       7,304,175,000","818,055,000","261,400,000",,,,
Current Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-                                           -,-,-,-,-,-,-                                                             -,-,-,-                                                             -,-,-,,,,
Provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,277,906","63,277,906","63,277,906","131,438,580","131,438,580","123,706,937                         131,438,580","123,706,937","23,405,015","6,688,028","56,838,989","86,067,658","91,913,392                                            80,221,924","97,759,126","65,966,539","62,402,692                                            65,966,539","58,838,846","55,274,999",,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,132,310,790","3,705,208,378","3,393,030,566","3,601,639,585","3,407,995,036","3,782,498,389                      3,650,970,495","3,988,926,032","4,467,938,606","5,144,229,478","4,431,395,739","4,476,712,154","4,324,720,735                                       4,435,213,927","4,083,129,792","4,259,747,017","4,086,766,472                                       4,259,747,017","4,075,026,767","4,004,168,965",,,,
