Particulars,Q3 2065,Q4 2065,Q1 2066,Q2 2066,Q3 2066,Q4 2066,Q1 2067,Q2 2067,Q3 2067,Q4 2067,Q1 2068,Q2 2068,Q3 2068,Q4 2068,Q1 2069,Q2 2069,Q3 2069,Q4 2069,Q1 2070,Q2 2070,Q3 2070,Q4 2070,Q1 2071,Q2 2071,Q3 2071,Q4 2071,Q1 2072,Q2 2072,Q3 2072,Q4 2072,Q1 2073,Q2 2073,Q3 2073,Q4 2073,Q1 2074,Q2 2074,Q3 2074,Q4 2074,Q1 2075,Q2 2075,Q3 2075,Q4 2075,Q1 2076,Q2 2076,Q3 2076,Q4 2076,Q1 2077,Q2 2077,Q3 2077,Q4 2077,Q1 2078,Q2 2078,Q3 2078,Q4 2078,Q1 2079,Q2 2079,Q3 2079,Q4 2079
net interest income,"220,708","331,959","451,691","129,203","280,778","405,045","611,758","182,849","359,508","568,785","764,494","142,175","342,457","531,515","857,352","184,464","473,533","776,460","1,155,576","226,839","561,040","880,392","1,347,421","295,642","632,697","1,010,464","1,435,843","360,153","801,492","1,339,864","2,116,667","627,223","1,313,320","1,911,900","2,913,165","513,179","1,396,759","2,200,522",3346712,"1,259,028","2,318,488",1137538.318,1282617.391,1448189.774,1357771.199,1425357.898,1413470.674,1354316.436,1196425.025,1409911.437,1612993.384,1757190.216,1266762.472,1766858.251,2290786.142,2142885.451,1902695.662,2070054.022
net fee and commission income,"34,797",55087,"72,888","10,345","19,485","30,031","42,758","13,791","26,035","41,348","68,049","21,567","40,985","64,641","108,181","28,681","53,769","81,708","113,067","41,529","86,024","122,093","159,355","295,642","94,011","139,046","178,708","39,552","83,415","130,163","173,917","42,334","82,640","129,114","183,804",44949,"167,918","267,192",398179,"206,528","418,723",239825.576,265034.204,230745.234,286924.534,216109.447,218394.137,231104.878,297519.147,374518.945,320224.983,410879.204,289745.009,294307.349,369885.604,339004.348,311899.817,393873.253
total operating income,"280,700","423,366","569,267","168,132","352,850","494,888","717,490","213,767","429,531","676,384","933,244","205,685","475,564","742,615","1,175,666","286,325","684,959","1,098,572","1,607,380","392,674","862,853","1,294,550","1,928,891","47,242","920,153","1,462,485","2,000,433","520,783","1,140,639","1,849,986","2,774,130","810,286","1,701,831","2,684,034","3,703,467","747,287","1,948,510","3,069,720",4579801,"1,588,300","3,022,536",1518760.727,1698727.805,1862490.287,1821933.612,1814889.871,1774212.105,1779922.2,1889203.54,2375891.359,2623984.424,2632232.348,1789573.83,2215273.825,2734435.717,2662973.289,2375295.971,2554809.456
staff expenses,"32,630","49,995","79,421","19,549","42,963","70,608","103,681","29,893","67,117","103,874","156,394","37,206","77,481","122,911","173,884","43,480","92,464","149,593","216,526","56,751","119,221","185,413","242,447","70,316","141,139","233,519","328,131","87,959","179,411","286,113","372,850","110,108","231,214","420,872","614,000","170,776","364,987","575,426",822799,"345,209","732,326",468535.85,528261.545,524196.455,531233.688,547461.743,670006.689,512724.306,527256.035,690893.538,678321.68,731055.963,650134.277,779672.85,604994.2,691319.926,748684.253,730421.481
operating profit,"172,521",253345,"347,660","99,770","202,190","257,668","373,532","119,069","219,620","374,948","497,694","41,235","146,442","232,413","518,016","31,247","191,958","453,506","792,567","153,436","372,327","552,251","971,373","212,799","478,175","830,444","964,769","258,837","606,912","973,915","1,642,446","355,425","903,454","1,437,692","2,122,804","66,819","896,232","1,577,083",2561628,760992,"1,560,452",766172.035,1074509.668,761969.981,797541.971,476121.582,1100365.01,754330.588,655364.202,1681024.526,1185429.537,1390254.646,956910.481,735359.996,1706876.009,731428.145,969887.803,487674.949
non operating income expense,-,-,506,-,-,-,"10,859",-,-,"1,433","1,433",-,-,553,913,80,36,404,944,-,751,9454,"7,477","25,064","28,889","26,330","38,168","1,086","70,913","134,269","166,490","163,703","176,641","189,302","197,444","127,522","132,142","204,182",215276,"5,834","5,945",848.757,12002.369,118.179,-36953.714,-35.938,-1703,84.222,338.901,34.709,151.638,-816.28,-8196.78,-20.402,868.65,87.045,1100,-1458.145
profit for the period,"109,786",161220,"215,602","63,490","128,666","163,971","238,242","75,772","139,758","239,515","304,641","26,241","93,190","148,251","330,456","18,996","112,843","278,738","490,488","101,511","242,954","362,561","791,467","151,989","338,348","561,681","763,762","179,408","498,145","801,662","1,244,892","379,711","772,034","1,138,531","1,618,097","237,809","813,794","1,307,802",1905925,536778,"1,096,478",536914.554,773665.221,533461.711,520626.885,325591.114,762647.097,521674.061,448002.891,1170325.158,794329.288,972614.348,651266.977,508321.411,1139750.978,505644.328,686389.416,333359.08
capital fund to rwa,10.98,10.3,10.45,11.2,10.62%,10.31%,11.05%,12.18%,11.30%,11.45%,11.75%,10.66%,10.39%,11.16%,11.54%,11.11%,10.68%,11.14%,12.28%,12.07%,11.50%,11.73%,12.27%,11.03%,11.61%,11.30%,11.19%,10.94%,11.12%,10.52%,11.12%,11.34%,11.63%,11.65%,13.21%,12.73,12.47%,12.34,12.47,12.07%,13.18%,12.40%,12.60%,14.27%,12.87%,11.89%,13.00%,14.03%,13.85%,13.39%,13.51%,13.05%,12.89%,12.82%,13.15%,12.51%,12.33%,12.03%
non performing loan to total loan,0.61,0.49,0.45,0.46,0.43,0.59,0.53,1,0.95,0.78,0.62,1.8,1.79,1.97,1.52,1.9,3.1,2.46,2.31,3.06,3.52,3.14,1.69,2.74,2.47,2.3,1.8,1.72,1.41,1.16,1.41,1.59,1.5,1.71,1.15,2.01,1.5,1.31,1.05,1.4,1.64,1.36%,0.75%,1.28%,1.55%,2.24%,1.56%,1.32%,1.91%,0.88%,1.16%,0.54%,0.37%,1.12%,1.03%,2.15%,2.87%,3.95%
total loan loss provision to npl,234.55,284.93,288.54,280.51,307.28,232.24,270.57,150.63,160.08,182.38,221.18,108.42,103.6,104.13,124.55,126.93,88.83,107.5,111.72,97.06,89.57,106.97,138.15,99.36,101.43,97.73,121.04,126.66,143.65,169.52,142.06,132.88,135.66,120.1,155.4,97.57,117.15,130.82,155.53,135.96,115.34,133.14%,207.02%,139.07%,115.97%,94.64%,122.10%,152.28%,111.89%,200.19%,167.98%,344.50%,478.17%,174.77%,189.00%,112.73%,93.96%,79.39%
cost of fund,,,,,6.65,-,7.36%,8.77%,8.78%,8.80%,9.06%,9.99%,9.48%,9.10%,8.88%,6.72%,6.57%,6.40%,6.34%,5.89%,5.74%,5.57%,5.40%,4.68%,4.71%,4.65%,4.62%,4.24%,4.10%,3.92%,3.84%,3.95%,4.16%,4.80%,5.40%,7.32,7.28%,7.49%,7.63,7.20%,7.42%,7.54,7.54,7.33,7.27,7.23,6.59,6.12,5.4,5.09,4.98,5.55,6.59,7.31,7.55,8.35,8.7,8.36
base rate,,,,,,,,,,,,,,,,,10.30%,10.22%,10.25%,9.27%,9.14%,9.00%,8.81%,7.85%,8.29%,7.87%,7.87%,7.04%,7.06%,6.78%,6.65%,6.38%,6.79%,7.67%,10.38%,10.28,10.58%,11.30%,11.16,10.62%,10.59%,10.37%,10.57%,10.02%,10.04%,9.98%,9.03%,8.10%,7.38%,6.99%,7.16%,7.57%,8.58%,9.53%,9.45%,10.43%,10.91%,10.45%
net interest spread,,,,,,2.30%,2.62%,2.85%,3.53%,3.72%,3.50%,2.38%,3.33%,3.40%,3.52%,3.37%,3.95%,4.11%,4.39%,3.33%,4.09%,4.17%,4.65%,3.74%,3.68%,4.78%,4.35%,3.48%,4.01%,4.26%,4.37%,3.90%,4.04%,3.79%,3.37%,3.84,3.80%,3.68%,4.58,4.77%,4.71,4.15,4.07,4.43,5.17,5,4.33,4.38,4.2,3.9,3.7,3.47,2.68,3.74,4.37,3.92,4.22,4.18
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,13.95%,14.42%,14.60%,13.02%,14.43%,13.47%,6.49%,8.95%,9.25%,14.25%,3.69%,9.54%,15.36%,18.34%,15.20%,17.68%,16.92%,24.03%,18.33%,19.61%,20.52%,20.29%,17.56%,23.03%,23.12%,19.91%,20.66%,18.84%,15.80%,14.30%,9.41,13.85%,14.16%,14.56,15.07%,16.14,15.27%,20.38%,13.45%,14.02%,8.69%,18.68%,12.08%,10.49%,25.88%,17.15%,17.92%,12.32%,9.78%,20.46%,8.79%,12.34%,5.99%
return on total assets,,,,,,1.04,1.1,1.3,1.18,1.32,1.24,0.43,0.71,0.74,1.12,0.3,0.75,1.21,1.46,1.22,1.32,1.28,1.93,1.37,1.45,1.52,1.51,1.28,1.76,1.74,1.67,1.77,1.67,1.46,1.56,0.93,1.54,1.55,1.56,1.8,1.66,1.62,2.07,1.3,1.26,0.74,1.62,1.03,0.87,2.06,1.48,1.58,1.12,0.88,1.78,0.75,1.07,0.5
credit to deposit ratio,,,,,,85.53%,81.21,84.88,84.17,82.44,81.82,81.02,79.37,79.12,75.4,77.7,78.04,77.26%,76.53,76.46%,75.40%,75.28%,73.34,76.25%,77.83%,78.35%,76.71,78.84%,77.50%,78.18%,77.55%,78.30%,77.92%,75.09%,76.71%,78.36,78.33%,78.1,74.23,79.47%,78.77%,78.91%,76.85%,77.36%,78.41%,78.77%,72.85%,73.49%,76.81%,78.01%,77.42%,87.75%,88.60%,89.75%,87.21%,88.10%,83.30%,80.41%
