,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
net interest income,,,,,,,"220,708","331,959","451,691","129,203","280,778","405,045","611,758","182,849","359,508","568,785","764,494","142,175","342,457","531,515",3,"184,464","473,533","776,460",,"226,839","561,040","880,392",,"295,642","632,697","1,010,464",,"360,153","801,492","1,339,864","2,913,165","627,223","1,313,320","1,911,900",,,"1,396,759","2,200,522",3346712.0,"1,259,028","2,318,488","1,137,538,318","1,282,617,391","1,448,189,774","1,357,771,199","1,425,357,898","1,413,470,674","1,354,316,436","1,196,425,025","1,409,911,437","1,612,993,384","1,757,190,216","1,266,762,472","1,766,858,251","2,290,786,142","2,142,885,451","1,902,695,662","2,070,054,022",,,,
net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"239,825,576","265,034,204","230,745,234","286,924,534","216,109,447","218,394,137","231,104,878","297,519,147","374,518,945","320,224,983","410,879,204","289,745,009","294,307,349","369,885,604","339,004,348","311,899,817","393,873,253",,,,
total operating income,,,,,,,"280,700","423,366","569,267","168,132","352,850","494,888","717,490","213,767","429,531","676,384","933,244","205,685","475,564","742,615",,"286,325","684,959","1,098,572",,"392,674","862,853","1,294,550",,"438,008","920,153","1,462,485",,"520,783","1,140,639","1,849,986","3,703,467","810,286","1,701,831","2,684,034",,,"1,948,510","3,069,720",4579801.0,,,"1,518,760,727","1,698,727,805","1,862,490,287","1,821,933,612","1,814,889,871","1,774,212,105","1,779,922,200","1,889,203,540","2,375,891,359","2,623,984,424","2,632,232,348","1,789,573,830","2,215,273,825","2,734,435,717","2,662,973,289","2,375,295,971","2,554,809,456",,,,
staff expenses,,,,,,,"32,630","49,995","79,421","19,549","42,963","70,608","103,681","29,893","67,117","103,874","156,394","37,206","77,481","122,911","173,884","43,480","92,464","149,593","216,526","56,751","119,221","185,413","242,447","70,316","141,139","233,519","328,131","87,959","179,411","286,113","614,000","110,108","231,214","420,872","372,850",,"364,987","575,426",822799.0,,,"468,535,850","528,261,545","524,196,455","531,233,688","547,461,743","670,006,689","512,724,306","527,256,035","690,893,538","678,321,680","731,055,963","650,134,277","779,672,850","604,994,200","691,319,926","748,684,253","730,421,481",,,,
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"766,172,035","1,074,509,668","761,969,981","797,541,971","476,121,582","1,100,365,010","754,330,588","655,364,202","1,681,024,526","1,185,429,537","1,390,254,646","956,910,481","735,359,996","1,706,876,009","731,428,145","969,887,803","487,674,949",,,,
non operating income expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profit for the period,,,,,,,"109,786",,"215,602","63,490","128,666","163,971","238,242","75,772","139,758","239,515","304,641","26,241","93,190","148,251",4,"18,996","112,843","278,738",,"101,511","242,954","362,561",3,"151,989","338,348","561,681",,"179,408","498,145","801,662","1,618,097","379,711","772,034","1,138,531",,,"813,794","1,307,802",1905925.0,,,"536,914,554","773,665,221","533,461,711","520,626,885","325,591,114","762,647,097","521,674,061","448,002,891","1,170,325,158","794,329,288","972,614,348","651,266,977","508,321,411","1,139,750,978","505,644,328","686,389,416","333,359,080",,,,
capital fund to rwa,,,,,,,10.98,10.30,10.45,11.20,10.62%,10.31%,11.05%,12.18%,11.30%,11.45%,11.75%,10.66%,10.39%,11.16%,11.54%,11.11%,10.68%,11.14%,12.28%,12.07%,11.50%,11.73%,12.27%,11.03%,11.61%,11.30%,11.19%,10.94%,11.12%,10.52%,13.21%,11.34%,11.63%,11.65%,11.12%,,12.47%,,12.47,12.07%,13.18%,12.40%,12.60%,14.27%,12.87%,11.89%,13.00%,14.03%,13.85%,13.39%,13.51%,13.05%,12.89%,12.82%,13.15%,12.51%,12.33%,12.03%,,,,
non performing loan to total loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36%,0.75%,1.28%,1.55%,2.24%,1.56%,1.32%,1.91%,0.88%,1.16%,0.54%,0.37%,1.12%,1.03%,2.15%,2.87%,3.95%,,,,
total loan loss provision to npl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost of fund,,,,,,,,,,,,,7.36%,8.77%,8.78%,8.80%,9.06%,9.99%,9.48%,9.10%,8.88%,6.72%,6.57%,6.40%,6.34%,5.89%,5.74%,5.57%,5.40%,4.68%,4.71%,4.65%,4.62%,4.24%,4.10%,3.92%,5.40%,3.95%,4.16%,4.80%,3.84%,,7.28%,7.49%,7.63,7.20%,7.42%,,,,,,,,,,,,,,,,,,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,10.30%,10.22%,10.25%,9.27%,9.14%,9.00%,8.81%,7.85%,8.29%,7.87%,7.87%,7.04%,7.06%,6.78%,10.38%,6.38%,6.79%,7.67%,6.65%,,10.58%,11.30%,11.16,10.62%,10.59%,10.37%,10.57%,10.02%,10.04%,9.98%,9.03%,8.10%,7.38%,6.99%,7.16%,7.57%,8.58%,9.53%,9.45%,10.43%,10.91%,10.45%,,,,
net interest spread,,,,,,,,,,,,2.30%,2.62%,2.85%,3.53%,3.72%,3.50%,2.38%,3.33%,3.40%,3.52%,3.37%,3.95%,4.11%,4.39%,3.33%,4.09%,4.17%,4.65%,3.74%,3.68%,4.78%,4.35%,3.48%,4.01%,4.26%,3.37%,3.90%,4.04%,3.79%,4.37%,,3.80%,3.68%,,4.77%,,,,,,,,,,,,,,,,,,,,,,
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,,,,,,,13.95%,14.42%,14.60%,13.02%,14.43%,13.47%,6.49%,8.95%,9.25%,14.25%,3.69%,9.54%,15.36%,18.34%,15.20%,17.68%,16.92%,24.03%,18.33%,19.61%,20.52%,20.29%,17.56%,23.03%,23.12%,14.30%,20.66%,18.84%,15.80%,19.91%,,13.85%,14.16%,14.56,15.07%,,15.27%,20.38%,13.45%,14.02%,8.69%,18.68%,12.08%,10.49%,25.88%,17.15%,17.92%,12.32%,9.78%,20.46%,8.79%,12.34%,5.99%,,,,
return on total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
credit to deposit ratio,,,,,,,,,,,,85.53%,,,,,,,,,,,,77.26%,,76.46%,75.40%,75.28%,,76.25%,77.83%,78.35%,,78.84%,77.50%,78.18%,76.71%,78.30%,77.92%,75.09%,77.55%,,78.33%,,,79.47%,78.77%,78.91%,76.85%,77.36%,78.41%,78.77%,72.85%,73.49%,76.81%,78.01%,77.42%,87.75%,88.60%,89.75%,87.21%,88.10%,83.30%,80.41%,,,,
