,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
net interest income,,,,,,,,,,"125,222","264,954","392,685","546,442","109,404","225,323","374,858",,"104,061","151,101","205,274","442,615",,,"661,509","934,356","210,487","489,940","778,022","1,116,792","343,302","669,384","1,011,838","1,337,045","1,337,045","821,148","1,310,623","1,857,373","535,271","1,121,089","1,751,611","2,325,174","612,136","1,066,486",,"2,644,511","842,583",1696599.0,"909,458,124","947,269,665","957,138,549","1,038,889,937","1,056,546,725","827,708,186","960,037,041","1,037,508,811","1,179,470,260","1,164,009,368","1,272,539,981","983,707,105","1,357,713,730","1,478,222,535","1,474,965,629","1,326,157,350","1,342,677,398",,,,
net fee and commission income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"163,790,247","229,339,453","221,686,747","304,696,299","203,103,304","117,545,113","282,561,015","272,499,478","288,880,717","208,156,366","379,896,684","280,260,419","226,570,484","313,941,743","318,328,170","269,302,306","278,201,359",,,,
total operating income,,,,,,,,,,"167,237","346,382","506,085","699,676","147,345","307,188","486,612",,"141,910","226,781","320,843","607,325",,,"828,043","1,179,314","264,641","616,403","967,062","1,404,863","419,816","844,649","1,273,874","1,702,630","472,479","1,006,207","1,599,779","2,298,112","683,845","1,418,380","2,178,077","2,890,223","755,737","1,378,429",,"3,308,128","1,124,488",2225845.0,"1,149,755,641","1,251,421,358","1,286,222,830","1,429,437,496","1,322,525,471","1,041,422,685","1,332,413,476","1,398,453,191","1,553,840,930","1,569,118,317","1,726,021,270","1,396,480,013","1,643,552,201","1,856,635,706","1,898,693,760","1,707,534,311","1,736,558,704",,,,
staff expenses,,,,,,,,,,"37,676","69,597","107,565","148,131","42,066","76,356","116,329",,"44,284","81,745","118,383","164,959",,,"171,343","233,005","75,064","131,841","194,079","279,844","82,181","153,937","225,358","356,981","107,632","196,896","336,105","469,881","132,076","245,321","368,544","499,067","157,077","318,910",,"681,650",,612231.0,"322,826,512","282,309,786","422,519,739","395,845,112","419,285,903","266,366,668","462,338,139","440,510,224","472,451,663","381,803,681","611,036,085","382,886,536","470,081,645","545,043,170","689,058,824","547,646,196","422,146,564",,,,
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"564,351,132","725,451,153","562,578,221","680,168,439","545,749,811","128,044,126","525,196,384","634,272,829","800,319,161","548,490,865","815,093,030","653,277,966","777,273,734","908,619,585","638,701,274","840,100,235","468,941,474",,,,
non operating income expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"401,377","624,276",,,,,,,,,,,803665.0,"462,002,089","468,210,065","379,091,781","450,054,230","343,706,414","86,848,347","362,210,404","443,588,834","495,335,779","353,285,836","571,126,214","451,681,611","544,627,706","613,709,209","445,797,067","583,120,931","324,847,009",,,,
capital fund to rwa,,,,,,,,,,10.79,10.92,10.39,11.18%,10.58%,10.69%,10.73,,11.68%,11.43%,11.51%,14.61,,,13.27,12.66,12.13,11.43%,10.66%,10.38%,11.01%,10.43%,11.12%,12.47%,12.57%,12.59,12.49,12.23%,11.29%,13.81%,16.30%,17.48%,16.63%,15.67%,,15.60%,14.36%,12.83,12.63%,12.88%,13.89%,13.48%,12.80%,13.00%,12.60%,11.96%,11.75%,12.00%,12.65%,12.59%,13.70%,13.47%,13.19%,13.20%,13.13%,,,,
non performing loan to total loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48%,0.37%,0.31%,0.45%,0.45%,0.54%,0.42%,0.76%,0.51%,0.62%,0.50%,0.57%,0.87%,0.84%,1.30%,1.41%,2.37%,,,,
total loan loss provision to npl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost of fund,,,,,,,,,,,6.61%,6.51%,7.20%,8.64%,8.88%,8.87%,,9.32%,9.38%,9.01%,9.84%,,,6.58%,6.58%,6.77%,6.28%,5.99%,5.80%,4.98%,4.59%,4.65%,4.68%,4.42%,4.16,296,3.44%,3.75%,3.79%,4.26%,4.82%,7.17%,7.59%,,7.61%,7.99%,7.98,,,,,,,,,,,,,,,,,,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,,10.13%,10.26%,9.77%,8.84%,8.57%,8.25%,7.69%,7.55%,7.57%,7.69%,7.04%,6.59,507,6.18%,6.30%,6.98%,8.30%,10.29%,10.48%,10.67%,,11.06%,11.21%,10.99,10.52%,10.37%,10.56%,10.26%,9.97%,9.21%,8.31%,7.56%,7.09%,7.26%,7.63%,8.79%,9.63%,9.93%,10.36%,11.39%,11.31%,,,,
net interest spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
market share price,,,,,,,,,,378.00,320.00,264.00,282.00,275.00,201.00,130.00,,115.00,107.00,107.00,107.00,,,228.00,203.00,244.00,368.00,475.00,576.00,485.00,559.00,567.00,596.00,540.00,540.00,540.00,680.00,830,402,447,360,329,273,,209,,,,,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.91,20.25%,17.68%,16.23%,16.04%,14.27%,12.13%,9.93%,,11.82%,,,,,,,,,,,,,,,,,,,,,,,
return on total assets,,,,,,,,,,0.25,,0.61%,0.80%,0.06%,,0.06%,,0.15%,2.82%,,0.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
credit to deposit ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.13%,78.92%,,77.34%,76.98%,77.08%,78.72%,77.65%,73.81%,76.94%,78.53%,80.39%,80.12%,88.10%,88.21%,89.13%,86.16%,86.44%,85.18%,81.87%,,,,
