Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,074,390,819","12,146,455,539","10,605,095,659","13,583,340,297","14,636,876,106","7,451,925,496","14,030,069,758","9,525,228,745","15,551,906,465","11,267,538,599","11,563,918,282","8,232,327,224","5,665,952,600","6,042,498,463","5,761,481,523","5,306,295,767","7,947,112,452",,,,
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,061,980,172","1,433,248,037","2,465,800,274","1,123,391,813","661,676,721","225,355,404","573,315,404","4,447,768,799","6,191,210,605","5,088,973,668","10,142,620,831","10,352,590,672","10,100,885,620","1,345,585,620","2,145,585,620","7,715,273,000","4,098,405,000",,,,
Deposits from customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,854,311,398","73,201,353,705","78,302,898,866","80,675,255,880","85,506,709,997","116,547,033,196","117,026,017,965","122,728,828,089","127,696,585,854","148,694,070,806","155,182,644,214","159,821,637,177","165,403,677,578","176,767,665,556","173,976,522,976","299,691,753,456","303,286,788,283",,,,
Borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,314,500,214","1,325,283,174",,,,
Current Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"109,673,028",,"100,205,915",,,,,,,,,,"742,651",,,,,,
Provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,800","2,231,750","2,231,750","364,125","364,125","2,312,231",,,,,,,,"2,500,000",,,,,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,887,840",,,,,,,"23,334,642","47,493,496","48,416,790","69,010,879","59,902,878","123,949,371","108,346,980","62,234,836","140,898,549","96,183,062",,,,
Other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,054,735,336","1,585,598,313","1,012,278,039","1,284,419,464","2,109,018,435","2,114,966,127","1,473,417,749","1,923,028,127","1,830,950,659","2,702,994,416","2,268,822,498","2,654,928,669","2,656,555,260","2,174,199,641","4,209,802,498","8,952,067,672","6,602,897,136",,,,
Debt securities issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,995,502,761","2,995,116,270","3,072,070,133","2,995,273,996","2,995,273,996","2,995,439,828","2,995,439,826","2,995,614,178","2,995,614,178","2,995,623,137","5,995,797,489","8,995,797,489","9,210,429,436",,,,
Subordinated Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81,058,307,365","88,368,887,344","97,972,282,162","102,298,172,786","111,680,420,218","136,706,396,272","144,101,017,171","149,798,476,329","164,890,333,384","180,465,204,795","182,265,179,133","184,117,000,798","187,113,851,963","189,588,852,952","192,180,867,390","332,116,586,147","332,567,287,381",,,,
Share capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,163,394,973","8,685,573,112","9,554,130,440","9,554,130,440","9,554,130,440","12,520,049,469","12,520,049,469","13,878,474,836","13,878,474,836","13,878,474,836","13,878,474,836","14,711,183,326","14,711,183,326","14,711,183,326","14,711,183,326","26,225,861,340","26,225,861,340",,,,
Share premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54,803,159","54,803,159",,,,,,"88,804,041","88,804,041","88,804,041","88,804,041","88,804,041","88,804,041","88,804,041","88,804,041","88,804,041","88,804,041",,,,
Retained earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,150,606,297","1,030,669,117","335,791,382","750,157,835","131,305,438","866,343,973","1,814,549,298","853,369,405","1,243,240,633","1,429,514,808","1,545,290,902","467,654,857","1,089,352,636","2,124,716,780","2,549,064,961","684,905,194","470,155,802",,,,
Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,163,705,930","2,149,711,011","2,241,780,679","2,244,887,963","3,050,049,312","3,823,882,514","3,595,456,281","3,503,963,068","3,805,164,192","3,890,352,246","3,942,438,078","4,271,992,994","4,678,323,122","4,617,917,392","5,036,566,462","12,066,549,811","10,486,558,036",,,,
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,532,510,359","11,920,756,400","12,131,702,501","12,549,176,238","12,735,485,189","17,210,275,955","17,930,055,048","18,324,611,350","19,015,683,702","19,287,145,931","19,455,007,857","19,539,635,218","20,567,663,125","21,542,621,539","22,385,618,790","39,066,120,387","37,271,379,220",,,,
Total liabilities and equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92,590,817,724","100,289,643,743","110,103,984,663","114,847,349,024","124,415,905,407","153,916,672,227","162,031,072,219","168,123,087,679","183,906,017,087","199,752,350,726","201,720,186,990","203,656,636,016","207,681,515,088","211,131,474,491","214,566,486,181","371,182,706,534","369,838,666,601",,,,
