Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,,,,,,,,,,"20,601,262","21,454,176","23,084,539","24,178,104","25,615,166","26,417,638","27,403,974","27,937,617",,"29,676,201","31,338,482","31,916,218","31,932,433","34,068,956","34,375,221","35,789,691","38,186,723","39,297,809","39,601,255","39,933,760","43,041,775","46,112,797","46,932,977","45,714,495",,"66,013,600","68,389,870","74,476,420",,,,,,,,,,,,,,,,,,,,,,,,
Paid Up Capital,,,,,,,,,,,,,,,,"1,485,000","1,485,000","1,485,000","1,603,800","1,603,800","1,603,800","1,603,800","1,603,800","1,603,800",,"1,603,800","1,603,800","1,603,800","1,828,332","2,431,682","2,431,682","2,431,682","2,431,682","2,431,682","2,431,682","2,699,167","2,699,167","2,699,167","2,699,167","3,265,992",,"5,969,496","5,969,496","5,969,496",,"7,163,055","7,163,395",,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,,,,,,,,,"662,588","757,975","800,532","635,167","696,001","885,658","905,506","982,658","941,520",,"1,112,426","1,127,739","1,258,353","1,169,283","567,761","716,598","786,272","887,658","974,325","1,139,907","1,003,133","1,388,260","1,501,686","1,643,566","1,143,499",,"2,740,780","2,590,947","2,812,200",,"3,954,897","4,332,841",,,,,,,,,,,,,,,,,,,,,
Debenture and Bond,,,,,,,,,,,,,,,,"400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrowings,,,,,,,,,,,,,,,,"748,985","660,925","520,557","78,126","26,945","5,403",,,,,,,"288,000","201,952","122,570","160,387","2,456","328,000",,"350,000","292,910",,"184,200","1,107,335","1,076,648",,"352,655","323,776","1,467,594",,"2,524,741","1,140,405",,,,,,,,,,,,,,,,,,,,,
Deposits,,,,,,,,,,,,,,,,"16,636,573",81.22%,82.02%,77.64%,75.91%,75.63%,78.93%,77.07%,77.95%,"469,915,900",76.45%,74.79%,77.10%,77.37%,75.62%,77.65%,79.63%,74.66%,74.13%,75.35%,76.95%,74.31%,75.77%,77.37%,74.01%,,77.59%,76.82%,78.69%,,79.91%,78.07%,,,,,,,,,,,,,,,,,,,,,
Domestic Currency,,,,,,,,,,,,,,,,"15,701,495","16,140,683","17,087,784","19,300,489","19,871,175","21,157,725","21,591,132","22,418,279","22,818,833",,"24,587,552","26,042,627","26,138,510","26,503,880","28,574,517","29,254,073","30,346,488","32,542,064","33,701,994","33,065,560","33,343,130","36,569,097","38,462,475","38,122,917","37,194,165",,"52,807,153","55,802,100","60,954,990",,,,,,,,,,,,,,,,,,,,,,,,
Foreign Currency,,,,,,,,,,,,,,,,"935,078","845,596","918,843","790,602","794,452","827,474","951,570","1,005,076","1,104,735",,"1,311,912","1,359,235","1,285,613","1,074,496","1,066,079","630,695","877,829","879,847","1,036,477","1,465,671","1,478,490","1,381,428","1,894,492","1,823,472","1,841,347",,"1,841,777","1,878,858","886,752",,,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,,,,,,,,,"1,541",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,,,,,,,"383,974","311,084","239,920","276,355","785,732","735,106","965,630","994,161","1,068,730",,"1,060,511","1,205,081","1,341,941","1,154,490","1,306,348","1,181,786","1,344,964","1,117,472","1,153,332","1,148,436","1,116,931","1,003,823","1,370,777","1,536,520","1,192,845",,"2,301,740","1,824,693","2,385,387",,"1,164,902","920,715",,,,,,,,,,,,,,,,,,,,,
Total Assets,,,,,,,,,,,,,,,,"20,317,119","20,601,262","21,454,176","23,084,539","24,178,104","25,615,166","26,417,638","27,403,974","27,937,617",,"29,676,201","31,338,482","31,916,218","31,932,433","34,068,956","34,375,221","35,789,691","38,186,723","39,297,809","39,601,255","39,933,760","43,041,775","46,112,797","46,932,977","45,714,495",,"66,013,600","68,389,870","74,476,420",,"87,305,831","88,867,223",,,,,,,,,,,,,,,,,,,,,
Cash and Bank Balance,,,,,,,,,,,,,,,,"1,825,159","1,168,524","2,537,379","2,756,376","2,469,449","3,722,628","2,583,610","2,586,509","2,817,093",,"3,608,702","4,159,605","3,526,890","4,895,685","3,689,544","3,252,271","2,871,899","4,990,975","4,419,590","3,315,774","3,067,534","4,511,196","5,460,908","5,310,483","4,245,482",,"6,536,196","6,052,852","5,947,140",,,,,,,,,,,,,,,,,,,,,,,,
Money at Call and Short Notice,,,,,,,,,,,,,,,,"328,000","451,520","526,102","346,290","510,000","321,243","1,132,495","884,584","827,619",,"584,170","749,814","1,590,182","507,478","619,920","886,189","879,040","436,881","1,363,606","364,962","948,023","1,600,000","1,180,000","532,750","51,500",,"600,000","763,518",,,,,,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,,,,,,,"2,273,938","3,532,285","2,130,723","2,951,383","3,360,235","2,940,557","3,123,067","4,070,401","3,944,511","30,000","4,084,998","4,326,349","3,891,224","3,164,626","5,355,091","4,388,587","4,520,963","4,862,590","5,424,691","7,763,086","6,512,047","6,142,966","6,019,064","6,144,928","6,078,162",,"8,891,013","8,529,835","9,705,127",,"8,980,198","7,880,604",,,,,,,,,,,,,,,,,,,,,
Loans and Advances,,,,,,,,,,,,,,,,,"14,666,309","15,569,380","16,211,290","16,822,933","17,877,540","19,015,383","19,175,278","19,761,617",,"20,864,133","21,510,540","22,331,275","22,808,503","23,846,139","25,289,247","26,699,294","27,070,390","27,467,481","27,505,974","28,695,897","30,111,445","32,411,102","33,659,893","34,486,276",,"47,471,234","50,924,405","56,849,368",,,,,,,,,,,,,,,,,,,,,,,,
Real Estate Loan,,,,,,,,,,,,,,,,"2,498,801","2,169,873","2,114,274","1,958,500","1,993,150","1,903,615","1,792,569","1,705,891","1,605,483",,"1,389,869","1,362,803","1,290,279","1,188,215","1,155,609","1,194,201","1,114,062","1,144,833","1,031,885","1,055,074","1,042,477","820,616","865,774","887,164","800,193",,"1,189,995","1,139,961","1,075,258",,,,,,,,,,,,,,,,,,,,,,,,
