Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Total Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103,369,273,234","112,457,175,341","114,307,925,627","117,931,736,970","121,786,219,204","124,357,732,130","132,374,746,121","142,085,526,451","150,436,199,759","158,180,114,937","170,910,048,612","174,063,687,667","178,291,189,508","178,726,882,958","182,929,882,202","185,049,852,574","185,903,587,299",,,,
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,309,812,815","5,561,345,014","4,936,030,567","4,091,761,262","2,083,610,600","2,649,482,101","2,387,083,718","4,047,731,659","2,209,659,709","2,863,541,338","7,053,838,433","5,767,830,137","3,238,059,133","5,071,832,173","6,200,724,259","2,908,785,999","6,565,748,209",,,,
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,158,323,522","1,820,524,291","3,016,665,113","735,461,823","1,608,743,908","13,723,693","19,753,693","1,566,393,773","3,852,065,246","4,159,288,073","10,878,047,811","7,784,245,862","10,237,864,768","3,612,515,768","6,886,340,768","5,514,906,000","274,651,000",,,,
Deposits from customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,963,151,872","84,991,104,699","91,063,536,211","97,316,686,366","99,654,683,595","103,900,036,875","111,688,703,936","118,051,723,449","125,307,438,740","131,449,765,974","130,542,831,029","137,397,426,324","140,982,622,948","144,927,851,207","144,807,170,069","150,468,769,789","150,836,803,422",,,,
Borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,"1,220,500,000","1,214,216,233","1,173,500,000","1,170,500,000","1,201,000,000","1,192,000,000","1,213,898,980","1,193,297,657","1,227,056,018","1,286,243,901","1,327,228,971","1,310,901,942","3,338,676,723",,,,
Current Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,"25,160,174",-,"553,716","1,278,421","4,519,332",-,-,-,-,-,-,-,-,,,,
Provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"739,627",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,102,014",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,129,974,110","8,762,274,786","1,536,701,791","1,510,276,058","2,424,949,991","2,002,032,317","2,089,811,965","1,996,734,298","2,022,064,173","2,375,457,183","2,303,394,560","2,781,714,901","2,781,221,885","3,302,169,841","2,881,474,636","3,735,012,441","3,550,577,778",,,,
Debt securities issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,"3,033,880,057","3,108,958,776","3,067,779,671","2,992,929,159","3,072,248,455","3,147,338,745","3,069,108,045","3,148,883,838","5,363,516,073","5,241,952,095","5,363,671,191","5,492,759,107","5,369,903,473","5,491,539,995","5,365,237,491",,,,
Subordinated Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Total liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92,579,103,960","101,207,845,949","103,586,813,739","106,763,144,286","110,269,867,949","112,772,420,379","120,431,655,482","129,981,700,345","137,727,377,117","145,188,936,406","157,375,529,177","160,166,466,977","163,869,497,669","163,695,156,397","167,473,024,976","169,469,532,013","169,964,110,735",,,,
Share capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,055,693,000","8,055,693,000","8,458,477,650","8,458,477,650","8,458,477,650","8,458,477,650","8,458,477,650","9,053,094,581","9,053,094,581","9,053,094,581","9,053,094,581","10,257,155,581","10,257,155,581","10,257,155,581","10,257,155,581","10,257,155,581","10,257,155,581",,,,
Share premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765",,,,
Retained earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,245,569,609","1,711,218,262","164,247,365","624,264,639","226,998,466","938,045,679","1,062,840,125","557,701,361","956,614,882","1,257,916,038","1,465,700,195","653,068,803","839,239,157","1,342,545,959","1,541,046,338","1,060,613,757","1,067,023,012",,,,
Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,458,024,901","1,451,536,365","2,067,505,108","2,054,968,631","2,799,993,374","2,157,906,657","2,390,891,099","2,462,148,399","2,579,606,493","2,559,593,379","2,892,638,831","2,863,190,630","3,200,380,123","3,305,726,566","3,533,981,132","4,142,590,832","4,495,893,394",,,,
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,"88,624,921","89,692,769","92,204,062","92,923,911","94,035,212","95,416,687","93,792,408","89,078,627","88,522,813",,,,
Total equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,790,169,274","11,249,329,392","10,721,111,888","11,168,592,684","11,516,351,255","11,585,311,751","11,943,090,638","12,103,826,106","12,708,822,642","12,991,178,531","13,534,519,434","13,897,220,690","14,421,691,838","15,031,726,558","15,456,857,223","15,580,320,562","15,939,476,565",,,,
Total liabilities and equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103,369,273,234","112,457,175,341","114,307,925,627","117,931,736,970","121,786,219,204","124,357,732,130","132,374,746,121","142,085,526,451","150,436,199,759","158,180,114,937","170,910,048,612","174,063,687,667","178,291,189,508","178,726,882,958","182,929,882,202","185,049,852,574","185,903,587,299",,,,
