Assets, Q2 2066, Q3 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Total Assets,"19,440,258","20,760,100","21,337,370","22,126,392","21,777,703","21,290,317","20,225,778","19,688,418","20,537,469","21,093,115",,"28,601,973","30,867,958",,"35,359,425",1.10%,1.09%,1.80%,1.52%,"47,311,687","49,333,182","51,757,678","52,528,504",1.47%,"60,042,834","66,643,907","67,583,586","68,735,591","69,591,181","72,057,311","78,935,609","85,690,415","94,135,270",,"103,369,273,234","112,457,175,341","114,307,925,627","117,931,736,970",1,1,1,"142,085,526,451","150,436,199,759","158,180,114,937","170,910,048,612","174,063,687,667","178,291,189,508","178,726,882,958","182,929,882,202","185,049,852,574","185,903,587,299"
Liabilities,"19,440,258","20,760,100","21,337,370","22,126,392","21,777,703","21,290,317","20,225,778","19,688,418","20,537,469","21,093,115","25,132,517","28,601,973","30,867,958","32,936,307","35,359,425","38,650,386","41,287,852","42,375,788","45,257,097","47,311,687","49,333,182","51,757,678","52,528,504",,"60,042,834","66,643,907","67,583,586","68,735,591","69,591,181","72,057,311","78,935,609","85,389,009",,,,,,,,,,,,,,,,,,,
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,309,812,815","5,561,345,014","4,936,030,567","4,091,761,262","2,083,610,600","2,649,482,101",2,"4,047,731,659","2,209,659,709",2,7,5,"3,238,059,133","5,071,832,173","6,200,724,259","2,908,785,999","6,565,748,209"
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,158,323,522","1,820,524,291","3,016,665,113","735,461,823","1,608,743,908","13,723,693","19,753,693","1,566,393,773","3,852,065,246",4,"10,878,047,811",7,1,"3,612,515,768","6,886,340,768","5,514,906,000","274,651,000"
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,539,673",,"17,202,304","61,543,518","72,597,160","67,415,547",6,"65,228,389","67,415,547","21,848,832","21,848,832","9,327,195","21,848,832","21,848,832",,,
Deposits from customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,963,151,872","84,991,104,699","91,063,536,211","97,316,686,366","99,654,683,595","103,900,036,875","111,688,703,936",1,"125,307,438,740","131,449,765,974","130,542,831,029","137,397,426,324","140,982,622,948","144,927,851,207","144,807,170,069","150,468,769,789","150,836,803,422"
Borrowing,"1,039,430","2,812,708","150,000","493,763","673,400","743,369","1,251,242","449,088","433,104","34,442","3,112","168,279","61,017","33,435","2,502",,,,,,689,689,"900,000","500,000","1,234,291","1,553,816","341,816","633,978","160,703","168,327","1,699,305","637,802","1,930,519",,,,,,"1,220,500,000","1,214,216,233",1,"1,170,500,000","1,201,000,000",1,1,1,"1,227,056,018","1,286,243,901","1,327,228,971","1,310,901,942","3,338,676,723"
Current Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,160,174",,"553,716","1,278,421","4,519,332",,,,,,,,
Provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,796,032","3,471,326",,"739,627","739,627",,,,,,,,,,,,,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,102,014","14,219,601",,,,,,,,,,,,,,,
Other liabilities,"253,650","789,354","822,916","966,096","1,196,329","1,152,422","789,488","836,493","973,538","1,125,707","937,136","890,666","872,944","1,141,831","1,125,754","1,721,312","908,370","1,578,547","1,869,061","1,734,997","1,102,878","2,673,910","2,740,581","2,757,835","1,140,673","1,365,888","1,911,226","1,696,400","1,685,977","2,319,941","1,932,323","2,032,076","3,471,326",,"2,129,974,110","8,762,274,786","1,536,701,791","1,510,276,058","2,424,949,991","2,002,032,317",2,"1,996,734,298","2,022,064,173",2,2,2,"2,781,221,885","3,302,169,841","2,881,474,636","3,735,012,441","3,550,577,778"
Debt securities issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,033,880,057","3,108,958,776","3,067,779,671","2,992,929,159",3,"3,147,338,745","3,069,108,045",3,5,5,"5,363,671,191","5,492,759,107","5,369,903,473","5,491,539,995","5,365,237,491"
Total liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92,579,103,960","101,207,845,949","103,586,813,739","106,763,144,286",1,1,1,"129,981,700,345","137,727,377,117","145,188,936,406","157,375,529,177","160,166,466,977","163,869,497,669","163,695,156,397","167,473,024,976","169,469,532,013","169,964,110,735"
Equity,,,,,,,,,,,,,,,,,,,,,,,,18.91%,20.25%,17.68%,16.23%,16.04%,14.27%,12.13%,9.93%,11.82%,,,,,,,,,,,,,,,,,,,
Share capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,055,693,000","8,055,693,000","8,458,477,650","8,458,477,650","8,458,477,650","8,458,477,650",8,"9,053,094,581","9,053,094,581",9,9,"10,257,155,581",1,1,1,1,1
Share premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765","30,881,765"
Retained earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,245,569,609","1,711,218,262","164,247,365","624,264,639",2,9,1,5,"956,614,882",1,1,"653,068,803","839,239,157","1,342,545,959","1,541,046,338","1,060,613,757","1,067,023,012"
Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,458,024,901",1,"2,067,505,108","2,054,968,631","2,799,993,374","2,157,906,657",2,"2,462,148,399","2,579,606,493",2,2,2,"3,200,380,123","3,305,726,566","3,533,981,132","4,142,590,832","4,495,893,394"
Total equity attributable to equity holders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,790,169,274","11,249,329,392","10,721,111,888","11,168,592,684","11,516,351,255","11,585,311,751","11,943,090,638",1,1,"12,901,485,763","13,442,315,371","13,804,296,779","14,327,656,626","14,936,309,870","15,363,064,816","15,491,241,935","15,850,953,753"
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"89,692,769","92,204,062","92,923,911","94,035,212","95,416,687","93,792,408","89,078,627","88,522,813"
Total equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,790,169,274","11,249,329,392","10,721,111,888","11,168,592,684","11,516,351,255","11,585,311,751","11,943,090,638",1,1,"12,901,485,763","13,442,315,371","13,804,296,779","14,327,656,626","14,936,309,870","15,363,064,816","15,491,241,935","15,850,953,753"
Total liabilities and equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103,369,273,234","112,457,175,341","114,307,925,627","117,931,736,970",1,1,1,"142,085,526,451","150,436,199,759","158,180,114,937","170,910,048,612","174,063,687,667","178,291,189,508","178,726,882,958","182,929,882,202","185,049,852,574","185,903,587,299"
