Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Cash and cash equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,734,367,234","13,228,890,954","7,593,337,762","9,435,400,890","9,406,875,397","8,165,526,245","13,821,538,701","13,270,119,329","11,765,657,240","15,777,852,689","17,412,115,347","15,575,109,412","17,939,520,929","13,036,507,662","22,194,504,979","19,859,577,668",,,,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,239,466,652","6,011,293,122","8,227,060,243","8,875,202,551","11,803,412,752","21,460,948,592","25,883,126,437","11,423,251,548","25,370,514,039","8,776,459,303","8,837,795,254","9,279,874,027","11,970,868,071","14,450,777,907","17,733,284,217","16,862,583,587",,,,
Placement with Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,830,159,895","6,852,507,638","5,235,830,573","8,773,443,817","5,445,774,161","4,089,794,063","5,477,041,439","5,440,370,187","6,387,722,494","8,511,928,357","1,671,026,652","1,271,009,520","703,835,663","1,373,576,760","1,403,840,995",,,,
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,223,338,211","1,265,752,686","1,099,936,200","1,323,580,015","1,266,463,643","1,131,501,200","880,924,524","769,606,923","1,025,319,423","62,164,549",,,,
Loan and advances to B/FIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112,174,051,090","122,300,645,491","194,567,690,916","199,094,005,186","192,953,643,784","199,672,172,975","208,095,221,354","227,654,806,374","235,092,141,199","251,531,976,604","264,134,499,964","268,445,615,229","266,786,569,174","270,339,881,179","371,895,360,767","369,952,640,327",,,,
Investment securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,085,605,880","13,339,877,980","22,183,245,360","24,513,940,232","28,538,319,977","31,845,628,875","36,443,395,378","47,959,849,318","52,514,077,460","46,544,386,727","44,480,012,709","44,037,264,582","47,212,551,756","42,953,398,397","67,000,017,302","77,511,170,362",,,,
Current tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,275,013,531","81,154,087","952,332,261","956,362,905","1,707,903,703","413,880,704","1,081,266,352","1,608,955,676","2,364,131,483","512,429,835","964,777,710","1,628,365,864","2,388,786,128","69,091,627","1,973,350,954","2,840,575,033",,,,
Investment in subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
