Particulars, Q3 2068, Q1 2070, Q4 2070, Q2 2071, Q3 2071, Q1 2072, Q2 2072, Q4 2072, Q1 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Capital Fund to RWA,,12.68%,,,,,11.09%,11.37,11.08%,13.73%,13.57%,13.82%,13.79%,13.03%,12.88%,15.78%,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to Total NPL,,135.60%,,,,316.26%,329.04%,,145.49%,17.40%,130.61%,"134,36%",129.33%,154.32%,152.96%,177.27%,,,,,,,,,,,,,,,,135.77%,,
Cost of Funds,9.37%,6.14%,,,4.26%,,4.31%,4.12%,4.01%,4.09%,4.69%,5.17%,7.22%,714%,7.14%,7.52%,7.40%,7.32%,7.32%,7.19%,7.75%,7.16%,7.05%,5.94%,5.52%,5.38%,5.80%,5.36%,5.82%,6.15%,5.90%,8.07%,8.20%,8.35%
Credit to Deposit Ratio,,,,,,,,,,,,,,,,77.72%,,,,,,,,,,,,,,,,,,
Base Rate,,,,,,,,,,,8.95%,10.12%,10.21%,10.35%,10.92%,10.70%,10.11%,9.95%,9.86%,10.33%,10.12%,9.99%,8.95%,7.85%,7.40%,7.19%,7.33%,7.96%,8.58%,8.96%,9.38%,10.15%,10.68%,10.61%
Return on Equity ,,,15.36%,18.25%,,17.66%,15.45%,19.29%,19.28%,17.73%,18.14%,17.11%,16.80%,18.61%,17.13%,16.11%,12.66%,13.30%,13.96%,15.54%,15.72%,12.46%,11.21%,13.49%,14.51%,15.15%,12.51%,17.50%,14.41%,14.59%,14.86%,13.31%,14.18%,13.17%
