Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Liabilities,,,,,,,,,,"6,293,859","7,258,958","6,693,962",,,1.7,,,,,,,,,,"21,976,068","21,970,597","23,376,656","24,944,549",,"31,491,397","35,621,141",,"40,272,468",,"45,301,912","49,955,541",,,"62,073,264","62,158,043","62,769,215",1.1101,6,",924570",,"26,934",,,,,,,,,,,,,,,,,,,,,,
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,067,239",,2,"2,130,154,894","4,920,874,273","4,038,217,003","1,560,019,983","1,043,312,255","2,614,422,138","1,038,415,902",2,5,,,,
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,119,929,473",1,"1,318,037,597","1,204,043,299","730,056,241","932,627,141","52,634,555",9,"1,954,793,410","3,651,303,839","3,577,291,494","6,541,452,869","8,752,081,207","4,096,650,775","8,034,802,444",2,1,,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"120,264,062","85,066,888",3,"66,965,952","85,066,888",,6,4,"40,221,461","16,016,111","16,016,111","83,486,823","16,016,111","16,016,111","34,589,056",,,,,,
Deposits from customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,195,054,931",8,"95,499,545,325","99,135,488,180","100,640,586,076","106,661,758,563","108,066,168,974",1,"122,542,510,271","128,226,612,165","140,339,496,975","144,256,959,200","146,579,732,918","157,345,663,047","152,021,743,983",1,1,,,,
Borrowing,,,,,,,,,,"656,000","786,000","376,000",,,,,,,,6000,,,,,"1,480,126",855088,"355,000","1,139,402","98,268",,,,"1,687,185",,"1,348,057",,,,,,"611,009","319,046","448,517","1,803,500",,"870,996",,,,,,,,,,,"1,787,250,000","1,806,000,000","1,777,500,000","1,828,500,000","1,279,000,000","3,954,000,000",3,3,,,,
Current Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,632,608","25,019,840",2,"43,039,681","241,485,967","22,537,584","145,697,172",4,"161,021,301","38,648,182","215,178,886","31,297,215","20,395,715","67,594,039","183,229,839",1,"39,337,981",,,,
Provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,487,181",,"28,072,192","27,224,376",3,"57,019,996","42,669,379",,"40,692,345",5,"46,143,490","32,795,234","56,619,496","60,106,915","50,264,099","48,699,778","51,358,008",5,5,,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,541,293","3,139,245","5,513,706","62,422,737","40,480,367","40,525,025","25,217,670","72,760,678","1,970,343",8,,,,,
Other liabilities,,,,,,,,,,"111,696","67,046","89,885",,,"823,079","147,467",,,,,,,,,"278,695",,"513,324","699,402",,"68,584",7.80,,"1,102,373",9.0,"625,485","595,459",,,"6,950,255","1,158,530","1,085,326","2,341,999","2,428,486","1,955,489",,"1,487,181",,"1,241,252,893",1,"1,467,261,445","1,402,921,564","1,409,912,257","289,844,209","2,453,406,045",2,"2,912,737,416","2,231,938,397","2,634,017,087","2,118,279,357","2,109,321,061","3,039,956,005","3,072,055,875",3,3,,,,
