Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080, Q1 2074.JPG, Q2 2074.JPG, Q3 2074.JPG, Q3 2075.JPG, Q4 2073.JPG
Total Assets,,,,,,,,,,",028",,"138,974,189",,,"42,209,189","43,205,466","46,840,364","49,147,657","50,320,056","51,976,282","56,518,986","57,179,198","56,944,600","60,236,671","66,545,726",6,"68,498,053","72,175,693","71,323,364",,"85,164,098","86,533,073","100,033,860","88,198,504",88198,,211027,2.11027,21127,,,,,,"145,840,764","145,562,639",,"159,315,637","168,684,737","161,226,497","187,955,267","188,234,657","185,018,806","184,518,133","197,170,267","199,138,135","211,646,308","200,263,828","209,484,555","208,944,095","224,300,219","215,486,119","248,350,770","237,897,198",,,,,2596.04,2040.96,"134,930,717","160,716,612",2519.24
Liabilities,,,,,,,,,,"39,028,477",,,"1,982,805","42,242,059","42,209,189","43,205,466","46,840,364","49,147,657","50,320,056","51,976,282","56,518,986","57,179,198","56,944,600","60,236,671","66,545,726",6,"68,498,053","72,175,693","71,323,363",,"85,164,098","86,533,073","100,033,860","88,198,504","9,831,260",,"11,422,593","10,228,457","11,652,097",,,,,,"145,840,764",,,,,,,,,,,,,,,,,,,,,,,,"117,507,740","117,507,360","17,171,618","583,908","10,085,105"
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"527,164","601,403","919,550","763,400","1,755,666","1,182,834","1,110,738","1,147,630","692,273","678,975","539,126","700,345","1,207,247","733,073","1,475,642","786,846","1,969,697",,,,,,,,,
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,261,400","1,206,069","40,230","610,245","404,497","32,886","23,926","1,352,491","2,003,159","2,112,185","2,225,685","3,586,003","3,023,678","2,919,259","2,689,977","1,133,500","23,500",,,,,,,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,475","54,102",,"15,269","1,441,591","14,537","69,895","97,412",,,,"79,510","6,354","21,075","9,751",,,,,,,,,,,
Deposits from customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"124,542,022","129,550,539","134,744,985","141,195,515","140,062,709","143,545,475","156,549,579","150,182,622","155,655,693","160,220,257","163,941,720","165,217,641","161,796,435","172,739,185","173,844,552","180,792,914","186,158,814",,,,,,,,,
Borrowing,,,,,,,,,,,,,,"404,600","404,600",,"482,000","482,000",,"82,250","82,250",,,,"402,360","402,360",,,,,,,,,,,"2,500","5,000","7,500",,,,,,"26,713","745,359",,,,,,"845,122",0,,,,,,,,"2,556,000","2,637,000","2,602,000","2,622,000",,,,,"12,500","16,676","23,176","762,497","12,500"
Current Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"220,715","71,491","432,572",0,,,,,,,,,,,,,,,,,,,,
Provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,302,616","6,667,648",,,,,,,0,,,,,,,,,,,,,,,,,,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,264","77,264","92,881","92,881","92,881","140,976","127,370","127,370","127,370","423,325","410,464","410,464","410,464","91,825","122,131",,,,,,,,,,,
Other liabilities,,,,,,,,,,1766,,"1,404,083",,"1,382,810","1,558,070","1,197,304","1,224,305","1,430,046","1,380,843","1,798,049","2,306,839","2,483,810","2,837,975","3,659,677","2,293,289",2,"2,581,020","3,042,672","2,377,239",,"8,415,865","8,414,183","8,848,125","3,580,006","9,831,260",,"11,422,593","10,228,457","11,652,097",,,,,,"15,490,060","6,667,648",,"15,290,643","18,546,681","5,773,610","26,576,584","24,528,862","20,426,683","6,682,031","23,780,477","18,468,076","27,029,490","11,693,050","18,256,507","19,849,108","21,241,050","7,976,540","35,988,108","18,852,685",,,,,"9,707,079","9,712,359","17,171,618",,"10,085,105"
Debt securities issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,068,845","1,068,845","1,068,845","1,068,845","1,068,845","1,068,845","1,068,845","1,068,845","1,068,845","468,845","468,845","468,845","1,325,628","1,325,628","3,325,628","3,325,628","4,072,458",,,,,,,,,
Subordinated Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"523,526",0,,,,,,,,,,,,,,,,,,,,
Total liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"142,767,339","151,050,801","142,899,013","170,378,961","169,815,374","166,397,700","165,562,489","177,659,434","178,133,670","190,961,003","179,347,775","188,639,805","187,612,559","201,606,020","192,071,470","224,666,253","213,734,447",,,,,,,,,
Equity,,,,,,,,,,,,35.09,,32.41,33.07,35.83,35.83,33.13,32.98,35.50,36.92,32.62,31.98,34.33,36.62,29.83,28.85,30.61,32.98,,28.90,29.83,29.50,21.07,22.27,,25.56,24.18,23.15,,,,,,21.60,,,,,,,,,,,,,,,,,,,,,,,,23.50,17.51,18.88,,24.12
Share capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,106,863","8,106,863","8,106,863","8,510,207","8,510,207","8,510,207","8,510,207","8,933,717","8,933,717","8,933,717","8,933,717","9,467,340","9,467,340","9,467,340","9,467,340","10,698,094","10,698,094",,,,,,,,,
Share premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"238,470","238,470","238,470","238,470","238,470","238,470","238,470","238,470","238,470","238,470","238,470","238,470","238,470","238,470","238,470","238,470","238,470",,,,,,,,,
Retained earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,080,709","2,188,038","3,015,019","1,560,134","1,852,946","1,727,527","2,127,830","1,863,369","2,408,912","2,364,965","3,114,408","2,834,009","3,511,413","3,895,454","4,716,857","2,846,968","3,363,358",,,,,,,,,
Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,805,466","8,634,742",,"6,122,256","7,100,565","6,967,132","7,267,496","7,817,659","8,144,903","8,079,137","8,475,277","9,423,366","9,148,153","8,629,458","8,304,931","8,114,313","9,092,936","8,991,982","9,900,985","9,862,829",,,,,,,,"7,581,148",
Total equity attributable to equity holders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,548,298","17,633,936","18,327,484","17,576,306","18,419,282",,"18,955,644","19,510,833","21,004,464","20,685,305","20,916,053","20,844,750","21,331,536","22,694,200","23,414,649","23,684,517","24,162,751",,,,,,,,,
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,548,298","17,633,936","18,327,484","17,576,306","18,419,282",,"18,955,644","19,510,833","21,004,464","20,685,305","20,916,053","20,844,750","21,331,536","22,694,200","23,414,649","23,684,517","24,162,751",,,,,,,,,
Total liabilities and equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"159,315,637","168,684,737","161,226,497","187,955,267","188,234,657","185,018,806","184,518,133","197,170,267","199,138,135","211,646,308","200,263,828","209,484,555","208,944,095","224,300,219","215,486,119","248,350,770","237,897,198",,,,,,,,,
