,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
total operating income,,,,,,,,,,"58,535","118,787",,"256,483",,,,"394,972",,,,"474,281","172,887","356,700",,"777,889","228,517","493,756","780,634","1,091,503","342,946","720,652",,"1,503,363","429,563",,,"2,207,262","692,140",,2159192,"2,207,262","821,262",,"2,820,998","3,926,654",,,"1,295,231,547","1,466,137,794","1,464,464,390","1,347,961,700","1,369,822,539","1,120,362,708","1,283,548,905","1,476,985,189","1,681,339,902","1,517,772,494","1,619,465,031","1,378,900,503","1,488,658,058","1,694,091,428","1,947,214,544","1,938,426,479","1,976,939,481",,,,
staff expenses,,,,,,,,,,"9,104","17,417",,"41,791",,,,"55,836",,,,"79,571","29,523","53,498",,"99,776","38,988","70,994","101,447","134,381","49,200","94,353",,"182,321","66,428",,,"259,435","86,428",,258051,"259,435","122,172",,"382,078","540,365",,,"270,245,966","337,439,352","374,758,375","254,555,376","326,105,066","310,334,400","328,737,494","354,411,103","389,955,277","393,880,332","390,212,150","410,180,222","441,978,535","439,315,024","429,560,074","480,360,609","437,604,330",,,,
operating profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"858,278,115","986,153,293","809,827,950","800,756,686","676,123,259","130,970,523","570,310,908","996,278,249","1,184,595,962","624,935,124","770,524,897","728,000,781","737,862,321","1,016,206,202","747,014,035","1,084,701,391","673,613,958",,,,
non operating income expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profit for the period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"599,883,643","684,555,958","567,192,625","561,592,741","472,790,907","90,215,448","399,221,552","700,185,182","827,478,938","433,001,089","539,037,688","519,971,370","513,466,899","713,997,465","521,956,544","759,610,984","437,024,853",,,,
capital fund to rwa,,,,,,,,,,20.34,17.99%,18.89,17.64,,14.08,29.37,30.51,,,24.57,21.80,16.95,16.27,15.23,15.00,14.00,13.94,13.21,12.55,11.72,11.03,10.65,11.19,11.72,,11.12,12.65,12.45,13.12,13.42,13.20,13.85,13.42,13.46,12.91,13.85,,13.3,13.11,12.61,12.78,12.46,12.97,12.54,15.04,13.99,13.54,13.45,13.28,13.51,13.75,13.03,13.39,13.45,,,,
non performing loan to total loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.08,,0.12,0.08,0.24,0.41,0.36,0.48,0.4,0.58,0.21,0.16,0.11,0.31,0.38,0.35,0.91,0.77,2.27,,,,
total loan loss provision to npl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost of fund,,,,,,,,,,,7.42%,7.78,9.38,,10.01,10.35,10.48,,,10.38,9.91,7.88,7.67,7.45,7.24,7.06,6.91,6.57,6.29,5.20,4.93,4.96,5.02,4.65,,3.91,3.83,6.28,4.09,4.68,4.68,7.43,7.24,7.32,7.42,7.43,,,,,,,,,,,,,,,,,,,,,,
base rate,,,,,,,,,,,,,,,,,,,,,,,10.36,10.1,10.04,9.73,9.54,8.40,8.22,7.85,7.19,7.62,7.50,7.85,,5.58,6.07,,7.2,9.11,10.20,10.27,9.71,10.63,10.66,10.27,,9.31,9.45,9.21,9.29,9.25,8.62,7.73,6.83,6.23,6.34,7.45,8.08,9.0,9.71,10.5,10.86,10.63,,,,
net interest spread,,,,,,,,,,,,,,,,,,,,3.55,3.57,4.60,4.09,3.99,3.85,4.43,4.12,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
market share price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
return on equity,,,,,,,,,,,,,,,,,,,,4.8,5.40,9.75,11.58,12.13,12.53,13.35,14.81,15.68,15.77,17.33,17.93,17.5,17.58,19.24,,22.02,23.36,16.94,18.51,18.03,14.35,14.22,16.64,15.77,15.76,14.22,,21.95,23.36,20.0,20.34,19.41,15.27,12.2,17.57,20.56,,,,,,,,,,,,
return on total assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,2.07,,2.06,2.07,1.93,1.88,1.73,1.34,1.19,1.64,1.73,,,,,,,,,,,,
credit to deposit ratio,,,,,,,,,,,,83.86,79.14,,83.38,79.71,75.41,,,75.05,72.19,,79.34,78.47,73.94,73.24,78.38,78.96,75.20,77.66,78.18,77.75,76.10,79.13,,77.66,76.07,79.26,18.62,75.17,72.04,79.17,78.99,18.18,76.99,79.14,,78.58,77.91,78.84,78.05,78.64,74.72,78.23,81.6,82.73,82.31,85.25,86.85,87.22,86.36,86.11,83.03,82.29,,,,
