Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Cash and cash equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,408,812,864","4,780,411,347","3,261,200,792","2,972,241,116","2,896,001,816","5,255,810,829","3,163,055,289","4,688,964,725","6,613,036,438","4,823,295,538","10,866,227,082","5,344,087,807","6,257,999,694","4,374,490,791","5,431,059,014","4,941,435,345","4,746,631,314",,,,
Due from Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,652,466,052","2,781,194,462","7,250,030,043","6,446,411,855","5,992,504,940","5,325,683,135","8,459,042,204","6,312,919,627","6,689,140,082","6,053,731,274","3,751,719,330","6,117,294,855","6,857,768,309","13,516,139,617","6,476,275,743","5,559,373,514","7,408,868,307",,,,
Placement with Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"129,208,596","827,701,829","1,117,311,046","2,651,952,496","3,094,436,880","2,896,086,670","2,933,003,383","1,040,422,715","1,037,533,537","1,797,708,397","1,843,857,416","289,048,449","273,688,355","401,162,744","384,758,944","383,194,300","580,604,992",,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"101,627,700",,,,"64,935,585",,"34,554,967",,"11,980,037","52,394,722",,"97,833,864","91,720,324",,,,
Other trading assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"615,765,258","572,623,498","551,815,657","568,023,179","555,905,777","531,492,829","582,920,825","629,322,724","346,438,553","304,965,929","367,525,394","566,653,374","801,434,146","609,344,862","621,428,183","711,513,839","695,980,124",,,,
Loan and advances to B/FIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,890,774,722","2,020,420,376","2,467,293,752","2,872,990,417","2,866,465,769","2,655,929,866","2,657,123,865","3,332,466,637","3,366,958,500","4,094,023,666","5,324,101,613","5,539,745,828","5,109,187,168","5,167,865,708","4,906,404,800","4,630,968,356","4,346,093,573",,,,
Loans and advances to customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79,135,778,216","81,249,739,202","83,521,375,429","88,712,927,665","92,119,838,300","90,566,104,231","95,626,154,623","101,641,941,667","114,064,749,501","118,988,706,699","127,866,700,931","135,893,748,077","137,245,125,185","137,161,694,973","144,693,601,348","143,734,409,686","144,063,888,613",,,,
Investment securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,848,614,982","13,642,937,583","13,820,911,052","13,682,840,931","14,062,360,071","15,051,957,196","14,641,292,412","14,381,612,774","14,910,473,781","21,051,168,797","20,128,018,570","20,732,368,553","22,370,587,722","27,767,152,579","28,332,644,612","31,465,672,846","38,464,164,384",,,,
Current tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,325,637",,,,,,,,,,"2,821,945","196,710,428",,,,
Investment in subsidiaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment in associates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,932,294","72,932,294","72,932,294","72,932,294","172,956,139",,,,
Property and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"912,093,466","1,157,073,771","1,189,246,942","1,152,028,278","1,144,974,315","1,164,037,255","1,169,125,808","1,185,152,217","1,211,942,351","1,206,818,326","1,240,172,911","1,268,860,929","1,306,486,936","1,361,715,366","1,427,356,709","1,417,935,070","1,402,881,123",,,,
Goodwill and Intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,679,172","72,408,053","73,203,787","65,175,087","68,540,777","61,266,356","62,181,766","63,229,193","65,227,184","48,412,478","46,300,259","44,749,895","39,940,956","56,078,464","55,097,661","61,176,640","73,964,875",,,,
Deferred tax assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,145,958","51,574,683","16,140,704","17,413,390","19,595,137","27,118,113","22,789,158","14,865,078","3,334,753",,,,,"60,393,516","164,009,459","154,242,804","163,965,817",,,,
Other assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"414,554,204","1,835,489,176","1,742,045,804","1,060,027,294","1,974,491,044","2,545,315,983","2,157,038,052","1,131,099,093","788,671,859","2,339,753,921","1,595,399,770","1,235,549,832","1,303,562,174","2,029,572,582","2,596,581,896","2,764,737,012","2,737,328,388",,,,
Total Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103,252,157,550","109,076,640,868","115,049,371,416","120,268,997,660","124,795,114,825","126,163,349,562","131,542,934,232","134,468,789,672","149,097,506,538","160,724,601,136","173,030,023,276","177,115,594,421","181,638,712,940","192,578,543,497","195,196,739,717","195,900,413,651","205,054,038,078",,,,
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,814,373,013","2,130,154,894","4,920,874,273","4,038,217,003","1,560,019,983","1,043,312,255","2,614,422,138","1,038,415,902","2,121,889,366","5,659,873,533",,,,
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,119,929,473","1,018,919,629","1,318,037,597","1,204,043,299","730,056,241","86,292,488","52,634,555","999,064,770","1,954,793,410","3,651,303,839","3,577,291,494","6,541,452,869","8,752,081,207","4,096,650,775","8,034,802,444","209,279,274","170,353,350",,,,
Deposits from customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,195,054,931","89,230,136,270","95,499,545,325","99,135,488,180","100,640,586,076","106,661,758,563","108,066,168,974","110,018,974,008","122,542,510,271","128,226,612,165","140,339,496,975","144,256,959,200","146,579,732,918","157,345,663,047","152,021,743,983","158,645,162,713","163,902,636,408",,,,
Borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,787,250,000","1,806,000,000","1,777,500,000","1,828,500,000","1,279,000,000","3,954,000,000","3,906,000,000","3,933,000,000",,,,
Current Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,632,608","25,019,840","225,379,966","43,039,681","241,485,967",,"145,697,172","45,160,339","161,021,301","38,648,182","215,178,886","31,297,215","20,395,715","67,594,039","183,229,839","13,283,724",,,,,
Provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,072,192","27,224,376","37,453,823","57,019,996","42,669,379","33,269,766","40,692,345","51,411,266","46,143,490","32,795,234","56,619,496","60,106,915","50,264,099","48,699,778","51,358,008","59,299,019","53,717,059",,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,541,293","3,139,245","5,513,706","62,422,737","40,480,367","40,525,025","25,217,670",,"1,970,343","8,021,772",,,,,
Other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,241,252,893","1,421,290,624","1,467,261,445","1,402,921,564","1,409,912,257","1,193,648,065","2,453,406,045","2,112,401,061","2,912,737,416","2,231,938,397","2,634,017,087","2,118,279,357","2,109,321,061","3,039,956,005","3,072,055,875","3,327,204,520","3,326,970,561",,,,
Debt securities issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,724,712,000","1,724,712,000","1,724,712,000","1,724,712,000","1,724,712,000","1,724,712,000","1,724,712,000","4,777,116,000","4,777,116,000","4,777,116,000","4,771,716,000","4,771,716,000","4,771,716,000","6,819,816,000","9,371,099,333","9,371,741,000","9,372,703,500",,,,
Subordinated Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92,007,183,887","97,141,761,181","103,350,015,922","108,012,398,217","112,082,529,904","113,390,072,085","118,296,228,513","120,821,639,702","134,594,926,072","145,728,960,827","157,513,572,275","161,157,856,563","165,192,520,961","175,364,196,504","177,728,675,727","177,759,715,251","186,510,974,735",,,,
