Assets, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q2 2073, Q3 2073, Q4 2073, Q2 2074, Q1 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2074.PDF
Debt securities issued,,,,,,,,,,,,,,,,,,,"7,868,453,058","7,710,097,099","9,655,694,331",,"9,673,873,498","9,655,637,044","9,645,964,196","9,643,539,254","9,643,501,459","10,740,937,282","10,786,568,152","11,041,287,298","10,804,393,835","10,726,356,675",1,1,1,
Total liabilities,,,,,,,,,,,,,,,,,,,"215,727,652,433","205,088,286,291",2,,"220,475,049,987","238,792,878,339","273,690,180,906","307,499,374,782","333,355,798,576","339,481,711,053","373,397,774,889","343,007,463,180","344,224,172,436","353,529,006,578",3,3,3,
Equity,12.77%,10.83%,13.78%,16.68%,15.66%,12.27%,13.78%,14.75%,13.27%,11.13%,17.40%,17.19%,13.6%,18.1%,18.7%,10.41%,,,,,,,,,,,,,,,,,,,,17%
Share capital,,,,,,,,,,,,,,,,,,,"8,834,228,698","8,834,228,698","9,717,651,568",,"9,717,651,568","9,717,651,568","9,717,651,568","11,564,005,366","11,564,005,366","11,564,005,366","11,564,005,366","11,564,005,366","11,564,005,366","11,564,005,366",1,"11,564,005,366","11,564,005,366",
Retained earnings,,,,,,,,,,,,,,,,,,,"1,489,049,907","2,376,358,144","871,525,462",,"968,363,285","1,876,298,625","2,267,419,905","1,041,390,342","1,669,246,527","2,334,872,101","2,547,332,428","3,284,073,473","3,590,638,222","4,541,663,248",4,"4,467,020,276","3,503,711,221",
Reserves,"2,544,713",3,3,2,2,2,,,"2,907,222",3,"2,305,830",2,"2,187,598","2,647,956","3,065,267","2,362,061",,,,,"4,532,948,146",,"6,098,827,203","5,891,675,303","6,762,681,603","6,965,917,080","7,522,200,598","7,451,172,524",,,"10,014,484,575","10,008,774,512",,,,"3,491,800"
Total equity attributable to equity holders,,,,,,,,,,,,,,,,,,,"14,380,874,734","15,093,256,346",1,,"16,784,842,056","17,485,625,496","18,747,753,076","19,571,312,788","20,755,452,491","21,350,049,990","22,587,131,697","23,881,199,530","25,169,128,163","26,114,443,126",2,2,2,
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,"572,389,181","596,079,172.17","616,920,120.9","1,070,967,277","1,130,088,676","1,156,838,861","1,237,981,065","1,289,140,201","1,330,223,610",1,1,1,
Total equity,,,,,,,,,,,,,,,,,,,,,1,,"16,784,842,056","17,485,625,496","18,747,753,076","19,571,312,788","20,755,452,491","21,350,049,990",,,"25,169,128,163","26,114,443,126",2,2,2,
Total liabilities and equity,,,,,,,,,,,,,,,,,,,,,2,,"237,259,892,043","256,850,893,017","293,034,013,155","327,687,607,691","355,182,218,344","361,961,849,719","397,141,745,447","368,126,643,775","370,682,440,800","380,973,673,314",3,3,3,
