Particulars, Q3 2066, Q2 2067, Q3 2067, Q4 2067, Q2 2068, Q3 2068, Q2 2069, Q4 2069, Q1 2070, Q3 2070, Q4 2070, Q3 2071, Q4 2071, Q2 2072, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q4 2074, Q1 2075, Q2 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Deposit from customers,,,,,,,,,,,,,,,,,,,,,,,"15,646,570,300","9,428,190,814","76,987,173,026","81,779,834,721","92,048,029,967","12,224,696,723","22,333,215,991","32,679,366,801","56,065,690,964","1,109,633,580","3,504,296,035","697,357,182","9,486,069,500","2,235,748,047","126,267,535,059","132,803,729,921"
Borrowings,"784,600",,"826,393","497,545","15,660","15,660","74,880","94,143","107,043","336,289","167,014","142,511","89,565",,"2,100,000","78,451","363,765","667,600",,,,,"2,079,559,630","4,581,023,015","3,606,571,643","3,573,845,642","3,914,493,367","903,139,365","2,116,340,900","1,959,861,050","2,086,940,861","3,008,867,487","3,055,029,843","2,604,555,138","3,513,138,132","4,478,137,925","4,478,137,925","4,478,137,925"
Other liabilities,"347,788","764,143","431,878","631,786","718,556","820,457","1,854,227","1,424,042","2,098,439","1,643,404","2,634,782","2,521,437","3,008,758","3,056,288","3,996,755",,"4,289,402","7,446,457","4,689,379,","5,831,149","4,286,374",,"98,602,692","968,625,769","4,324,608,990","2,724,512,127","5,079,992,751","2,127,434,705","2,540,501,212","2,090,724,406","1,753,676,945","6,125,606,144","3,989,300,212","2,099,370,752","2,235,968,734","1,572,431,782","1,738,948,520","447,680,205"
Income taxes paid,,,,,,,,,,,,,,,,,,,,,,,"1,264,664,117","24,612,779","651,371,527","660,115,619","1,643,519,229","16,274,859","721,047,147","1,419,886,348","2,126,239,254","22,939,920","497,123,445","1,146,838,646","1,865,149,687","4,440,979","1,707,504,154","2,815,452,074"
Purchase of investment securities,,,,,,,,,,,,,,,,,,,,,,,"2,404,753,370","15,072,700","8,866,638,234","11,194,381,840","15,134,200,536","3,232,999,968","10,540,983,084","21,894,437,807","26,136,002,260","9,910,292","16,794,527","51,947,377","131,813,848","25,845,043","20,493,081,607","31,137,695,636"
Purchase of property and equipment,,,,,,,,,,,,,,,,,,,,,,,"293,440,055","54,141,489","1,432,495,940","1,467,734,778","1,455,464,184","9,260,352","37,295,061","972,430,536","1,022,776,605","38,473,389","154,583,637","229,308,667","460,099,204","35,522,880","1,464,669,653","1,515,501,807"
Purchase of intangible assets,,,,,,,,,,,,,,,,,,,,,,,"7,856,702","2,293,686","189,540,969","207,243,369","233,124,154","4,480,750","30,903,437","34,595,029","30,399,579","13,151,827","19,101,590","21,977,303","21,705,690","4,869,595","33,341,988","42,643,779"
Purchase of investment properties,,,,,,,,,,,,,,,,,,,,,,,,"26,768,385","26,768,385","26,768,385","26,768,385",,"388,812","1,196,771","19,344,890","130,023,029","211,852,029","215,643,032","204,799,330","267,653,539","315,658,566","398,367,126"
Interest received,,,,,,,,,,,,,,,,,,,,,,,"708,213,537","192,253,913","419,178,198","711,587,801","1,109,628,420","362,187,725","688,612,897","1,113,463,246","1,600,650,650","613,765,266","1,105,389,728","1,598,655,664","2,240,142,898","702,483,927","1,447,350,276","2,674,126,203"
Dividend received,,,,,,,,,,,,,,,,,,,,,,,,,"4,579,691","5,825,401","5,822,591","985,878","3,530,395","5,574,271","5,638,079","62,039,649","44,411,275","56,152,912","40,862,004","17,560,880","16,605,205","31,204,012"
Net cash used in investing activities,,,,,,,,,,,,,,,,,,,,,,,"2,824,279,450","294,885,744","10,266,720,552","12,364,189,615","15,890,552,917","2,687,159,907","9,719,695,950","21,778,013,542","25,356,147,610","6,218,184,751","4,898,996,304","5,674,588,637",,"3,815,428,847","20,808,191,974","30,342,111,550"
Receipt from issue of debt securities,,,,,,,,,,,,,,,,,,,,,,,"1,096,452,596","1,496,452,596","1,496,452,596","151,094","1,496,452,596",0*,,"3,000,000,000","3,000,000,000","3,000,000,000","2,994,253,246","2,994,253,246","2,994,253,246",,0*,"4,987,674,463"
Repayment of debt securities,,,,,,,,,,,,,,,,,,,,,,,,"400,000,000","400,000,000","400,000,000","400,000,000",,,,,,,,,,,
Receipt from issue of shares,,,,,,,,,,,,,,,,,,,,,,,"100,622,921","77,405,650",,"14,741,128,217",,"14,741,128,217","137,542,515","137,542,515","137,542,515",,,,,,,
Interest paid,,,,,,,,,,,,,,,,,,,,,,,"106,716,506","46,656,243","240,958,023","367,255,037","480,400,163","44,408,874","86,867,714","137,148,328","255,879,185","111,138,675","230,545,265","369,077,606","585,099,125","511,011,512","1,015,755,965","1,650,978,776"
Other receipt/payment,,,,,,,,,,,,,,,,,,,,,,,"77,405,650","253,363,617","5,120,940,935","5,120,940,935","5,084,687,020","67,795,041","3,383,749","18,369,025","82,070,770","32,032,783","245,885,821","208,683,889","977,504,579","227,758","19,912,398,323","19,687,374,131"
Net cash from financing activities,,,,,,,,,,,,,,,,,,,,,,,"1,044,510,162","206,539,156","9,393,362,075","9,267,179,884","9,190,126,298","23,347,951","170,818,155","2,384,284,078","2,201,808,360","79,187,903","749,332,721","1,366,717,369","2,351,201,295","511,279,838","16,372,908,883","20,486,585,468"
