Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Foreign Exchange Gain/Loss,,,,,,,,,,,,,,,,,,"5,724",,"26,530","38,864","13,717","40,592","51,396","50,511","15,267","33,482","50,997","63,213","17,088","35,796","56,922","80,316","28,354","54,783","82,164","115,336","34,027","68,188","68,188",,,"88,582","151,095","214,022",,,,,,,,,,,,,,,,,,,,,,,
Income Generating Commercial Complex Loan,,,,,,,,,,,,,,,,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Tax Liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"412,041","89,115",,,"570,495",,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,,,,,,,,,,,,,,,,,,"319,074",,"1,030,725","1,410,696","315,045","619,311","923,908","1,251,304","369,859","703,475","1,015,004","1,328,712","306,461","595,348","909,579","1,296,357","409,073","798,726","1,177,626","1,591,977","544,135","1,150,673",,"3,107,907","1,163,849","2,284,711","3,467,675","4,758,259","1,365,199","2,759,201",,,,,,,,,,,,,,,,,,,,,
Interest Income,,,,,,,,,,,,,,,,,,"169,968",,"362,508","574,635","160,535","395,229","643,876","988,899","222,257","521,539","788,947","1,095,135","235,526","552,624","829,883","1,106,300","280,665","1,446,717","2,198,173","3,095,549","1,059,793","2,253,853","2,253,853","5,323,149","1,687,295","3,575,501","5,417,325","7,573,097","2,202,284","4,520,171",,,,,,,,,,,,,,,,,,,,,
Investments,,,,,,,,,,,,,,,,,,"1,105,511",,"1,566,772","1,808,961","1,577,267","2,598,304","2,013,494","2,453,581","2,996,185","2,978,595","3,940,058","3,054,741","5,419,493","7,569,128","3,607,668","7,259,794","5,201,994","6,694,047","7,478,161","8,172,422","7,989,489","9,211,217","7,720,517","7,337,394","12,841,937","11,994,188","12,496,751","13,537,418","9,092,015","9,137,971",,,,,,,,,,,,,,,,,,,,,
Liquidity (CRR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans and Advances ,,,,,,,,,,,,,,,,,,"12,445,520",,"14,002,985","14,380,599","16,955,638","17,257,301","17,790,267","17,730,592","20,569,760","20,129,919","20,132,179","20,030,432","21,522,355","23,353,006","24,463,699","26,381,079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margin Type Loan,,,,,,,,,,,,,,,,,,"126,294",,"45,821","14,695","18,667","47,066","30,766","46,817","72,362","80,929","77,974","68,790","141,715","197,675","306,076","477,845","853,397","956,642","1,139,876","1,730,266","2,028,741","2,298,768","2,282,140","469,00","2,526,132","2,114,369","1,834,684","1,916,943",,,,,,,,,,,,,,,,,,,,,,,
Market Value Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Money at Call and Short Notice,,,,,,,,,,,,,,,,,,"242,764",,"408,380","100,626","130,221","540,241","1,648,551","679,557","319,683","558,497",-,"113,394","100,000",-,-,-,"100,000","100,000",,,"100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income ( 3.1-3.2),,,,,,,,,,,,,,,,,,"169,968",,"362,508","574,635","160,535","395,229","643,876","988,899","222,257","521,539","788,947","1,095,135","235,526","552,624","829,883","1,106,300","280,665","647,991","1,020,547","1,503,572","515,658","1,103,180","1,103,180","2,215,242","925,445","1,290,790","1,949,650","2,814,839","837,085","1,760,970",,,,,,,,,,,,,,,,,,,,,
Net Interest Spread,,,,,,,,,,,,,,,,,,4.44%,,3.10%,3.43%,4.05%,3.95%,4.03%,4.66%,3.51%,4.38%,4.25%,4.45%,4.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit/Loss ,,,,,,,,,,,,,,,,,,"34,778",,"79,452","146,617","44,943","126,295","218,433","319,189","93,235","205,830","272,736","308,014","95,025","260,451","337,239","474,390","117,802","363,954","588,171","951,754","253,116","609,709","609,709","1,188,806","209,142",,,"1,331,155",,,,,,,,,,,,,,,,,,,,,,,
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Banking Assets ( Net of provision),,,,,,,,,,,,,,,,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,"80,358",,"206,583","161,440","161,440",,,"119,254",,,,,,,,,,,,,,,,,,,,,,,
Non Operating Income/Expenses,,,,,,,,,,,,,,,,,,"11,494",,94,106,-,-,83,"3,567",62,"1,674","1,709","2,489",288,46,"3,114","2,823",,708,"1,145","1,359","20,468","24,230","744,730","44,154","4,944","15,980","18,095","27,375","96,180","155,338",,,,,,,,,,,,,,,,,,,,,
Non Performing Loan (NPL) to Total Loan,,,,,,,,,,,,,,,,,,3.80%,,4.01%,3.03%,2.12%,2.94%,3.74%,3.74%,3.11%,2.91%,3.62%,4.51%,4.25%,3.97%,3.77%,2.90%,2.69,2.30,2.28,1.24,1.69,1.40,1.00,1.37,1.49,1.65,1.45,1.28,1.12,1.26,,,,,,,,,,,,,,,,,,,,,
Operating Profit before provision,,,,,,,,,,,,,,,,,,"87,909",,"147,982","280,987","100,442","290,984","458,608","710,520","150,724","390,927","578,739","776,966","163,331","425,719","647,125","864,885","214,642","537,340","864,906","1,277,678","456,708","1,011,870","1,011,870",,,"1,078,850","1,618,157",,,,,,,,,,,,,,,,,,,,,,,,
"Operating Profit""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Assets,,,,,,,,,,,,,,,,,,"501,286",,"291,756","336,749","333,517","272,442","327,977","406,866","580,989","529,880","598,179","441,268","463,598","474,470","560,369","583,228","507,701","1,003,522","770,563","941,960","1,228,546","888,260","1,552,361","1,598,092","964,393","1,142,640","1,345,929","1,646,224","1,891,945","2,117,367",,,,,,,,,,,,,,,,,,,,,
Other Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Liabilities,,,,,,,,,,,,,,,,,,"377,175",,"324,931","270,675","529,868","408,665","339,496","395,924","601,467","576,807","574,539","352,906","534,237","386,181","1,131,339","534,356","835,609","821,902","722,064","764,972",,,"2,015,019","2,303,902","5,974,289","2,258,072","2,189,759","2,346,040",,"4,592,328",,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,,,,,,,,,,,,,,,"60,524",,"190,674","278,136","72,684","155,552","244,236","329,816","84,538","164,722","255,584","362,866","87,957","177,436","268,978","356,471","84,910","171,586","274,597","427,789","110,734","225,743",,"364,197","131,059","300,089","460,316","721,500","178,867","391,349",,,,,,,,,,,,,,,,,,,,,
Other Operating Income,,,,,,,,,,,,,,,,,,"12,176",,"44,415","69,535","28,614","57,320","88,461","124,525","38,444","66,907","97,233","141,288","37,765","87,694","138,057","187,273","48,248","111,305","188,995","279,039","89,307","182,813","182,813","330,942","77,822","166,873","246,095","334,954","88,370","200,298",,,,,,,,,,,,,,,,,,,,,
Other Real Estate Loan (Including Land purchase and Plotting),,,,,,,,,,,,,,,,,,"1,333,739",,"1,653,199","1,117,593","1,016,876","1,029,661","992,996","889,572","913,464","834,474","717,114","692,808","655,671","572,505",,,"608,419","715,531","691,536","1,394,254","1,437,652","1,567,773","1,617,473","2,069,277","1,984,963","2,054,553",,"2,034,964",,,,,,,,,,,,,,,,,,,,,,,
Others,,,,,,,,,,,,,,,,,,"60,524",,"190,674","278,136","72,684","155,552","244,236","329,816","84,538","164,722","255,584","362,866","87,957","177,436","268,978","356,471","4,751,357","5,134,330","5,956,826","10,069,746","10,872,895","12,652,245","13,943,161","13,666,110","14,070,478","14,050,685",,"15,711,417",,,,,,,,,,,,,,,,,,,,,,,
Overdraft Loan /TR Loan /Working Capital Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paid Up Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,989,283","3,220,697","3,336,481","3,976,047","5,301,396","5,301,395","5,453,212","7,017,698","8,152,558","8,152,556","8,152,556","8,152,556","8,152,556","8,152,556",,,,,,,,,,,,,,,,,,,,,
Price Earning Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit and Loss Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit before Bonus and Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"935,046","1,502,474",,,,,,,,,,,,,,,,,,,,,,,,
Profit from Regular Activities,,,,,,,,,,,,,,,,,,"54,652",,"125,880","362,322","70,624","188,478","333,267","555,155","146,512","338,093","443,231","498,668","149,884","410,337","531,004","827,028","193,733","580,545","930,212","1,510,035","397,755","958,114","958,114",,"328,082","1,090,384",,"2,233,795",,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Staff Bonus,,,,,,,,,,,,,,,,,,"4,968",,"11,350","21,060","6,420","18,042","31,205","45,786","13,319","29,404","38,962","44,002","13,626","37,303","48,273","66,778","16,829","51,994","84,024","136,846","36,160","87,101","84,074","107,300","39,150","85,004","136,589","190,164",,,,,,,,,,,,,,,,,,,,,,,
Provision for possible losses,,,,,,,,,,,,,,,,,,"3,682",,"186,476","242,437","34,037","86,250","140,783","207,750","59,589","147,995","167,644","93,511","9,415","145,774","218,958","417,134",,,,,,,,"1,880,538",,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,,,,,,,,,,,,,,,,,,75.59%,,75.60%,72.81%,79.07%,76.25%,78.26%,74.71%,77.53%,75.84%,75.51%,73.97%,75.61%,77.39%,78.47%,76.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate Loan,,,,,,,,,,,,,,,,,,"1,333,739",,"1,653,199","1,117,593","1,016,876","1,029,661","992,996","889,572","913,464","834,474","717,114","692,808","655,671","572,505","1,915,097","1,875,492","1,930,304","2,234,193","2,264,634","2,898,192","2,877,674","3,050,641","3,276,977","3,703,270","3,596,756",,"3,546,810","3,564,842",,,,,,,,,,,,,,,,,,,,,,,
Reserve and Surplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential Real Estate Loan,,,,,,,,,,,,,,,,,,"201,627",,"83,238","115,530","120,277","206,540","247,411","197,495","180,681",,,,,,,,"248,495","307,326","366,835","615,469","682,610","619,192","624,600","609,721","454,210","522,090",,"515,016",,,,,,,,,,,,,,,,,,,,,,,
Return on Equity,,,,,,,,,,,,,,,,,,6.44%,,4.76%,6.40%,8.26%,11.22%,12.42%,12.96%,14.59%,15.41%,13.34%,11.18%,12.82%,16.78%,14.10%,14.04%,13.32,18.13,18.01,15.49,15.83,18.05,15.44,12.71,8.44,11.58,11.99,11.85,,,,,,,,,,,,,,,,,,,,,,,
Return on Total Net Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff Expenses,,,,,,,,,,,,,,,,,,"48,857",,"139,175","194,357","55,879","103,103","155,974","218,546","69,108","124,247","187,728","263,898","71,952","131,549","196,122","271,911","89,063","162,300","244,315","354,752","112,238","207,943",,"400,900","400,400","312,843","473,687","698,315",,,,,,,,,,,,,,,,,,,,,,,
Term Loan,,,,,,,,,,,,,,,,,,"1,621,522",,"1,853,728","2,003,837","1,884,516","1,844,586","1,852,180","1,903,405","2,101,676","2,110,032","2,123,167","2,137,601","2,053,090","2,040,976","2,311,303","2,498,656","2,764,496","2,854,284","3,054,918","3,658,974","4,399,891","4,642,688","4,967,955","6,002,252","6,761,837","7,224,374","7,601,462","8,511,180",,,,,,,,,,,,,,,,,,,,,,,
Total Assets ,,,,,,,,,,,,,,,,,,"18,101,339",,"20,240,433","21,383,823","23,335,180","24,898,029","24,973,322","26,274,289","29,215,595","28,670,798","29,516,192","29,860,475","31,266,546","34,113,877","34,314,145","37,591,864","39,687,767","42,298,037","46,712,510","58,971,251","62,456,352","65,945,012","68,234,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Capital and Liabilities ( 1.1 to 1.7),,,,,,,,,,,,,,,,,,"18,101,339",,"20,240,433","21,383,823","23,335,180","24,898,029","24,973,322","26,274,289","29,215,595","28,670,798","29,516,192","29,860,475","31,266,546","34,113,877","34,314,145","37,591,864",,,,,,,,,,,,,"93,748,512",,,,,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Loan Loss Provision to total NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.82,136.56,122.13,160.81,125.52,142.41,138.49,148.33,141.63,114.72,127.19,144.75,171.05,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income,,,,,,,,,,,,,,,,,,"197,291",,"477,831","753,480","229,005","549,638","858,818","1,258,882","304,370","679,897","1,022,050","1,403,731","323,240","734,704","1,112,225","1,493,267","388,615","871,226","1,383,818","2,060,220","679,680","1,445,556","1,449,000","2,894,500","708,070","1,691,782","2,552,160","3,661,798","1,118,415","2,301,900",,,,,,,,,,,,,,,,,,,,,
Write back of provision for possible loss,,,,,,,,,,,,,,,,,,"3,682",,"186,476","242,437","34,037","86,250","140,783","207,750","59,589","147,995","167,644","93,511","9,415","145,774","218,958","417,134","34,858","174,746","282,016","556,317","72,341","113,307","113,307","194,699","279,724","232,049","415,483","448,657",,,,,,,,,,,,,,,,,,,,,,,
