Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,318,711,371","3,809,335,211","3,093,227,530","2,971,331,730","3,207,594,126","5,191,810,353","7,916,890,778","7,368,511,752","7,136,960,583","6,286,477,186","4,120,597,644","3,651,811,756","3,311,820,309","3,327,182,248","7,313,146,275","3,317,994,837","3,830,350,286",,,,
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,200,186,739","839,808,639","2,572,281,518","478,959,376","1,207,381,053","743,466,092","1,400,719","484,373,466","3,063,357,460","2,994,873,386","2,900,445,680","11,306,454,851","5,869,899,122","7,292,463,412","5,176,892,627","2,463,029,807","257,532,082",,,,
Deposits from customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71,915,609,983","75,212,384,159","77,314,600,168","81,561,208,416","86,064,387,254","89,837,680,308","91,326,441,124","92,122,717,897","100,790,520,740","105,556,182,828","128,016,262,184","128,865,055,344","127,942,188,590","131,247,879,310","125,195,265,123","131,311,508,508","131,534,577,367",,,,
Borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,"1,213,500,000","1,202,500,000","1,172,500,000","1,170,000,000","1,201,000,000","1,192,500,000","1,204,000,000","1,187,000,000","1,218,500,000","3,655,080,000","3,770,910,000","3,723,720,000","2,436,600,000",,,,
Current Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,"106,730,804",-,-,-,-,"4,526,023",-,-,-,-,-,-,-,-,-,,,,
Provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,"95,959,302","128,691,493","160,827,952","154,562,706","199,289,808","167,893,970","170,071,350","29,977,990","8,816,279","18,055,458","9,292,031",,,,
Other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,376,004,507","1,441,094,879","1,587,583,322","1,721,479,250","1,666,641,545","2,274,104,336","1,987,093,901","1,979,309,409","2,312,431,024","2,863,977,651","2,453,156,339","2,182,238,297","2,252,126,778","3,047,226,341","3,511,504,756","3,620,967,724","3,255,343,858",,,,
Debt securities issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,"996,352,782","996,262,240","3,986,170,283","3,986,591,570","3,986,596,012","3,986,952,851","3,987,404,525","3,987,856,199","3,988,366,688","3,989,369,822","3,989,867,760","3,990,365,697","3,990,928,522","3,991,791,533","3,991,521,204","3,992,105,938",,,,
Subordinated Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Total liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79,810,512,599","82,298,975,669","85,670,685,582","90,719,149,056","97,492,112,575","103,236,157,101","106,487,238,674","107,245,534,564","118,722,659,458","123,047,410,171","142,893,443,886","151,350,321,978","144,754,971,846","152,590,737,823","148,968,326,594","148,486,797,641","145,380,737,182",,,,
Share capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,152,555,851","8,152,555,851","8,152,555,851","8,967,811,436","8,967,811,436","8,967,811,436","8,967,811,436","9,487,944,499","9,487,944,499","9,487,944,499","9,487,944,499","10,118,892,809","10,118,892,809","10,118,892,809","10,118,892,809","10,118,892,809","10,118,892,809",,,,
Share premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"127,161,065","127,161,065","127,161,065",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
Retained earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,105,955,862","1,530,642,106","1,527,810,646","882,291,452","256,438,305","1,123,705,794","812,849,997","870,670,136","1,197,659,275","1,753,521,502","971,106,603","675,872,309","1,021,972,905","1,527,202,768","83,213,262","17,778,732","7,148,089",,,,
Reserves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,433,633,939","2,596,726,528","2,949,338,021","2,938,653,839","3,546,975,944","3,477,445,569","4,072,528,031","3,860,545,499","3,786,198,835","3,628,478,890","4,671,240,143","4,553,298,319","4,755,060,432","5,093,323,294","6,646,607,356","7,078,171,014","7,606,935,924",,,,
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,369,165","58,833,722","58,333,763","51,349,109","53,237,179","53,784,334","56,566,717",-,-,-,-,-,-,-,-,-,-,,,,
Total equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,871,675,882","12,465,919,271","12,815,199,346","12,840,105,837","12,824,462,864","13,622,747,133","13,909,756,181","14,219,160,134","14,471,802,609","14,869,944,892","15,130,291,246","15,348,063,436","15,895,926,146","16,739,418,870","16,682,286,903","17,214,842,555","17,732,976,822",,,,
Total liabilities and equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"91,682,188,481","94,764,894,941","98,485,884,928","103,559,254,892","110,316,575,438","116,858,904,234","120,396,994,856","121,464,694,698","133,194,462,068","137,917,355,063","158,023,735,131","166,698,385,414","160,650,897,992","169,330,156,693","165,650,613,497","165,701,640,196","163,113,714,004",,,,
