Assets,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080, Q1 2073.JPG, Q2 2072.JPG, Q2 2073.JPG, Q2 2075.JPG, Q3 2072.JPG, Q3 2073.JPG, Q4 2072.JPG
Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,"93,858,363","96,955,836",,,"104,683,763",,,"1,283,681,325","1,905,688","440,214","59,550","2,486,262","534,225","243,173","53,894","1,112,937","1,570,753","271,808","4,811,187","5,513,811","4,941,263","1,350,086","1,749,627","2,447,106",,,,,,,,,,,
Due to Bank and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,709,545","3,863,833","4,534,997","7,875,430","9,529,632","8,209,437","3,706,390","4,894,100","2,947,835","5,624,454","4,466,063","4,333,989","8,575,739","15,346,374","4,666,193",,,,,,,,,,,
Due to Nepal Rastra Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,007,467,458","801,795","3,882,613","585,100","325,945","4,794,406","5,361,924","8,250,465","13,016,742","11,261,512","11,527,936","18,558,043","21,553,999","16,083,276","9,816,454","5,973,163","8,973,163",,,,,,,,,,,
Derivative financial instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deposits from customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"328,406",1,,,,,,,,,,"252,387","1,223,501",,,"702,209",,,,"1,100,399",,,,"495,180","490,000","409,487","696,580","714,900",,,,,,,,,,,,,,,,,,
Current Tax Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,280,239",,"214,926","28,535","217,008","14,954","161,901","195,074","274,905",,"39,723","108,971","51,945","37,467","415,155",,,,,,,,,,,,,
Provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,324,555","23,325","23,325","23,325","23,325","23,325","29,639","26,470","28,672","23,325","23,325","23,325","23,325","23,325","23,325","93,879","93,879",,,,,,,,,,,
Deferred tax liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"408,039,248","417,761",,,,,,,,,"58,935","73,696","45,771","30,868",,,,,,,,,,,,,,
Other liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,658,690",3,,,,,,,,,,"4,323,499","4,085,979",,,"4,203,012",,,"3,825,477,230","4,743,989","5,076,253","4,076,495","6,442,793","4,370,236","4,026,763","4,245,965","4,823,165","5,535,052","6,149,308","4,400,898","4,800,808","5,984,675","6,550,543","11,053,238","9,208,342",,,,,,,,,,,
