Particulars, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q3 2079, Q4 2079
Capital Fund to RWA,,,,,,,,,,,,,,,,,,,7305.0,,
Non-Performing Loan to Total Loan,,,,,,,,,,,,,,,,,,,,3.77,4.56
Cost of Funds,,,,,,,,,,,,,,,,,,,,8.82,8.92
Credit to Deposit Ratio,,,,,,,,,,,,,,,,,,,,87.12,90.5
Base Rate,7.87,7.78,8.63,7.33,7.05,7.32,7.78,5.98,5.2,5.48,5.68,5.45,6.0,7.93,9.57,9.45,9.35,9.42,9.42,10.86,11.06
Return on Equity ,18.68,18.57,18.85,17.02,18.48,18.4,16.53,17.84,21.8,23.09,24.2,18.81,21.34,20.52,21.24,3.0,,17.18,,,
